Size:56961, Duration(usec):327275
Size:48602, Duration(usec):153150
Size:152517, Duration(usec):822339
Size:48742, Duration(usec):130501
Size:73841, Duration(usec):349866
Size:436987, Duration(usec):2122495
Size:749494, Duration(usec):4827031
Size:21630, Duration(usec):32895
Size:2512219, Duration(usec):15726704
Size:1896962, Duration(usec):12053599
Size:28432, Duration(usec):84315
Size:10478, Duration(usec):12395705
Size:1861328, Duration(usec):11868193
Size:55554, Duration(usec):57959
Size:21740, Duration(usec):29726
Size:4718048, Duration(usec):30870500
Size:592599, Duration(usec):4648958
Size:11302, Duration(usec):26686
Size:1553795, Duration(usec):9882902
Size:74, Duration(usec):6332
Size:4902, Duration(usec):25192
Size:3781362, Duration(usec):25969762
Size:4165940, Duration(usec):27009597
Size:223952, Duration(usec):1215139
Size:21497, Duration(usec):725773
Size:595692, Duration(usec):3761849
Size:535871, Duration(usec):21351956
Size:17730939, Duration(usec):117603470
Size:8851364, Duration(usec):62032290
Size:3898, Duration(usec):118833
Size:4822459, Duration(usec):31684603
Size:527077, Duration(usec):3420421
Size:5576341, Duration(usec):36829661
Size:6303, Duration(usec):25052741
Size:17252, Duration(usec):34968
Size:29109, Duration(usec):126014
Size:55982, Duration(usec):122652
Size:25861, Duration(usec):89823796
Size:62129, Duration(usec):293380
Size:20467, Duration(usec):17412439
Size:37434, Duration(usec):3934048
Size:43493, Duration(usec):72930799
Size:42906, Duration(usec):26216804
Size:2350160, Duration(usec):14816099
Size:29660, Duration(usec):70371977
Size:24263, Duration(usec):77152
Size:16241, Duration(usec):69332314
Size:4896, Duration(usec):21656
Size:47151, Duration(usec):111482
Size:2533, Duration(usec):59175056
