Size:56961, Duration(usec):1158644
Size:48602, Duration(usec):396660
Size:152517, Duration(usec):1675752
Size:48742, Duration(usec):344500
Size:73841, Duration(usec):1354183
Size:436987, Duration(usec):4960248
Size:749494, Duration(usec):7760555
Size:21630, Duration(usec):127053
Size:2512219, Duration(usec):31939538
Size:1896962, Duration(usec):18814915
Size:28432, Duration(usec):135627
Size:10478, Duration(usec):31512697
Size:1861328, Duration(usec):8301466
Size:55554, Duration(usec):3653260
Size:21740, Duration(usec):3588155
Size:4718048, Duration(usec):43017952
Size:592599, Duration(usec):9345235
Size:11302, Duration(usec):16378767
Size:1553795, Duration(usec):20858411
Size:74, Duration(usec):210437
Size:4902, Duration(usec):26756057
Size:3781362, Duration(usec):41254380
Size:4165940, Duration(usec):34851129
Size:223952, Duration(usec):41332059
Size:21497, Duration(usec):41422863
Size:595692, Duration(usec):16956133
Size:535871, Duration(usec):46630168
Size:17730939, Duration(usec):92139629
Size:8851364, Duration(usec):113489358
Size:3898, Duration(usec):83206
Size:4822459, Duration(usec):62342716
Size:527077, Duration(usec):4076956
Size:5576341, Duration(usec):63372200
Size:6303, Duration(usec):61582514
Size:17252, Duration(usec):3110204
Size:29109, Duration(usec):12817444
Size:55982, Duration(usec):3853249
Size:25861, Duration(usec):88771006
Size:62129, Duration(usec):36795891
Size:20467, Duration(usec):60964970
Size:37434, Duration(usec):59236604
Size:43493, Duration(usec):87258250
Size:42906, Duration(usec):109173988
Size:2350160, Duration(usec):53623740
Size:29660, Duration(usec):87086982
Size:24263, Duration(usec):27520007
Size:16241, Duration(usec):87355594
Size:4896, Duration(usec):937268
Size:47151, Duration(usec):1101117
Size:2533, Duration(usec):86084970
