Size:56961, Duration(usec):1367414
Size:48602, Duration(usec):1315482
Size:152517, Duration(usec):1656896
Size:48742, Duration(usec):1186542
Size:73841, Duration(usec):448745
Size:436987, Duration(usec):2991827
Size:749494, Duration(usec):6500750
Size:21630, Duration(usec):187930
Size:2512219, Duration(usec):24934125
Size:1896962, Duration(usec):18127923
Size:28432, Duration(usec):736648
Size:10478, Duration(usec):24612419
Size:1861328, Duration(usec):23722583
Size:55554, Duration(usec):1679390
Size:21740, Duration(usec):1579303
Size:4718048, Duration(usec):48669537
Size:592599, Duration(usec):28622393
Size:11302, Duration(usec):15276311
Size:1553795, Duration(usec):6106587
Size:74, Duration(usec):153111
Size:4902, Duration(usec):19803793
Size:3781362, Duration(usec):53152262
Size:4165940, Duration(usec):41139731
Size:223952, Duration(usec):45585603
Size:21497, Duration(usec):45570894
Size:595692, Duration(usec):16237947
Size:535871, Duration(usec):58665551
Size:17730939, Duration(usec):170177774
Size:8851364, Duration(usec):119346786
Size:3898, Duration(usec):105932
Size:4822459, Duration(usec):49050474
Size:527077, Duration(usec):5865930
Size:5576341, Duration(usec):25809345
Size:6303, Duration(usec):48228063
Size:17252, Duration(usec):4917752
Size:29109, Duration(usec):12183516
Size:55982, Duration(usec):4533131
Size:25861, Duration(usec):166741920
Size:62129, Duration(usec):41428367
Size:20467, Duration(usec):23424095
Size:37434, Duration(usec):45923253
Size:43493, Duration(usec):164783976
Size:42906, Duration(usec):115228287
Size:2350160, Duration(usec):56761938
Size:29660, Duration(usec):164524100
Size:24263, Duration(usec):34215834
Size:16241, Duration(usec):164390660
Size:4896, Duration(usec):1680369
Size:47151, Duration(usec):1732838
Size:2533, Duration(usec):163120013
