Size:56961, Duration(usec):3584029
Size:48602, Duration(usec):1817565
Size:152517, Duration(usec):3077340
Size:48742, Duration(usec):360781
Size:73841, Duration(usec):3386912
Size:436987, Duration(usec):3579676
Size:749494, Duration(usec):6505228
Size:21630, Duration(usec):110979
Size:2512219, Duration(usec):25014236
Size:1896962, Duration(usec):20977828
Size:28432, Duration(usec):122506
Size:10478, Duration(usec):17975292
Size:1861328, Duration(usec):15203186
Size:55554, Duration(usec):182874
Size:21740, Duration(usec):113983
Size:4718048, Duration(usec):18145518
Size:592599, Duration(usec):4658938
Size:11302, Duration(usec):204200
Size:1553795, Duration(usec):13697743
Size:74, Duration(usec):192287
Size:4902, Duration(usec):199781
Size:3781362, Duration(usec):36904506
Size:4165940, Duration(usec):34899071
Size:223952, Duration(usec):898632
Size:21497, Duration(usec):100845
Size:595692, Duration(usec):4494774
Size:535871, Duration(usec):25588834
Size:17730939, Duration(usec):179225866
Size:8851364, Duration(usec):106601442
Size:3898, Duration(usec):153015
Size:4822459, Duration(usec):54419089
Size:527077, Duration(usec):4067642
Size:5576341, Duration(usec):71035335
Size:6303, Duration(usec):41124389
Size:17252, Duration(usec):188089
Size:29109, Duration(usec):603522
Size:55982, Duration(usec):214966
Size:25861, Duration(usec):123870430
Size:62129, Duration(usec):371260
Size:20467, Duration(usec):31906950
Size:37434, Duration(usec):1319439
Size:43493, Duration(usec):89811015
Size:42906, Duration(usec):34991061
Size:2350160, Duration(usec):9108933
Size:29660, Duration(usec):85069740
Size:24263, Duration(usec):430479
Size:16241, Duration(usec):82716839
Size:4896, Duration(usec):69590
Size:47151, Duration(usec):209083
Size:2533, Duration(usec):62396274
