Size:56961, Duration(usec):2691075
Size:48602, Duration(usec):513015
Size:152517, Duration(usec):978239
Size:48742, Duration(usec):549737
Size:73841, Duration(usec):1869899
Size:436987, Duration(usec):1934884
Size:749494, Duration(usec):4891853
Size:21630, Duration(usec):859804
Size:2512219, Duration(usec):25614827
Size:1896962, Duration(usec):18432550
Size:28432, Duration(usec):320782
Size:10478, Duration(usec):18570758
Size:1861328, Duration(usec):16002560
Size:55554, Duration(usec):120843
Size:21740, Duration(usec):43992
Size:4718048, Duration(usec):46916611
Size:592599, Duration(usec):7275121
Size:11302, Duration(usec):59465
Size:1553795, Duration(usec):11623150
Size:74, Duration(usec):12438
Size:4902, Duration(usec):122575
Size:3781362, Duration(usec):40670071
Size:4165940, Duration(usec):16917295
Size:223952, Duration(usec):1290653
Size:21497, Duration(usec):78371
Size:595692, Duration(usec):5436020
Size:535871, Duration(usec):26728578
Size:17730939, Duration(usec):173346706
Size:8851364, Duration(usec):93551538
Size:3898, Duration(usec):150603
Size:4822459, Duration(usec):51795690
Size:527077, Duration(usec):3346931
Size:5576341, Duration(usec):69829389
Size:6303, Duration(usec):38500977
Size:17252, Duration(usec):323405
Size:29109, Duration(usec):584525
Size:55982, Duration(usec):169324
Size:25861, Duration(usec):117842055
Size:62129, Duration(usec):473908
Size:20467, Duration(usec):31037240
Size:37434, Duration(usec):241656
Size:43493, Duration(usec):83778919
Size:42906, Duration(usec):21969557
Size:2350160, Duration(usec):27307067
Size:29660, Duration(usec):78659033
Size:24263, Duration(usec):72273
Size:16241, Duration(usec):76310065
Size:4896, Duration(usec):46284
Size:47151, Duration(usec):334576
Size:2533, Duration(usec):55983194
