Size:56961, Duration(usec):431695
Size:48602, Duration(usec):294418
Size:152517, Duration(usec):2112631
Size:48742, Duration(usec):325867
Size:73841, Duration(usec):1203621
Size:436987, Duration(usec):3398064
Size:749494, Duration(usec):6023073
Size:21630, Duration(usec):133318
Size:2512219, Duration(usec):19879099
Size:1896962, Duration(usec):18129736
Size:28432, Duration(usec):563353
Size:10478, Duration(usec):18871697
Size:1861328, Duration(usec):16589527
Size:55554, Duration(usec):318231
Size:21740, Duration(usec):214453
Size:4718048, Duration(usec):50433940
Size:592599, Duration(usec):18777518
Size:11302, Duration(usec):11588356
Size:1553795, Duration(usec):8083237
Size:74, Duration(usec):75631
Size:4902, Duration(usec):7938182
Size:3781362, Duration(usec):47768045
Size:4165940, Duration(usec):45254709
Size:223952, Duration(usec):41150374
Size:21497, Duration(usec):41818742
Size:595692, Duration(usec):8899701
Size:535871, Duration(usec):50463992
Size:17730939, Duration(usec):156732742
Size:8851364, Duration(usec):111323159
Size:3898, Duration(usec):107080
Size:4822459, Duration(usec):42572908
Size:527077, Duration(usec):5747341
Size:5576341, Duration(usec):24925208
Size:6303, Duration(usec):40673461
Size:17252, Duration(usec):3294577
Size:29109, Duration(usec):359419
Size:55982, Duration(usec):2073228
Size:25861, Duration(usec):148832508
Size:62129, Duration(usec):30843049
Size:20467, Duration(usec):19402995
Size:37434, Duration(usec):34773570
Size:43493, Duration(usec):144190405
Size:42906, Duration(usec):101140607
Size:2350160, Duration(usec):40562853
Size:29660, Duration(usec):143514868
Size:24263, Duration(usec):28382413
Size:16241, Duration(usec):143206680
Size:4896, Duration(usec):85658
Size:47151, Duration(usec):295167
Size:2533, Duration(usec):140302644
