Size:56961, Duration(usec):611061
Size:48602, Duration(usec):1623648
Size:152517, Duration(usec):1425683
Size:48742, Duration(usec):527193
Size:73841, Duration(usec):663939
Size:436987, Duration(usec):5037223
Size:749494, Duration(usec):6131262
Size:21630, Duration(usec):169929
Size:2512219, Duration(usec):25946158
Size:1896962, Duration(usec):15796066
Size:28432, Duration(usec):152193
Size:10478, Duration(usec):25183153
Size:1861328, Duration(usec):21293280
Size:55554, Duration(usec):1867277
Size:21740, Duration(usec):1610869
Size:4718048, Duration(usec):49889220
Size:592599, Duration(usec):26101172
Size:11302, Duration(usec):10075916
Size:1553795, Duration(usec):5343059
Size:74, Duration(usec):79035
Size:4902, Duration(usec):15551363
Size:3781362, Duration(usec):30501731
Size:4165940, Duration(usec):44239529
Size:223952, Duration(usec):42692075
Size:21497, Duration(usec):42589155
Size:595692, Duration(usec):8215941
Size:535871, Duration(usec):33183531
Size:17730939, Duration(usec):163388677
Size:8851364, Duration(usec):95693101
Size:3898, Duration(usec):81144
Size:4822459, Duration(usec):59083454
Size:527077, Duration(usec):5813314
Size:5576341, Duration(usec):21864279
Size:6303, Duration(usec):57429017
Size:17252, Duration(usec):3768671
Size:29109, Duration(usec):287956
Size:55982, Duration(usec):3461823
Size:25861, Duration(usec):156673201
Size:62129, Duration(usec):33583494
Size:20467, Duration(usec):17001088
Size:37434, Duration(usec):52139706
Size:43493, Duration(usec):152536413
Size:42906, Duration(usec):86877693
Size:2350160, Duration(usec):45528611
Size:29660, Duration(usec):151930234
Size:24263, Duration(usec):29546493
Size:16241, Duration(usec):151665589
Size:4896, Duration(usec):154518
Size:47151, Duration(usec):654725
Size:2533, Duration(usec):149124510
