Size:318, Duration(usec):14182582
Size:2, Duration(usec):3766622
Size:134, Duration(usec):1816244
Size:346, Duration(usec):9684380
Size:6637, Duration(usec):3765092
Size:1, Duration(usec):6987278
Size:2, Duration(usec):9033398
Size:12, Duration(usec):4794948
Size:1, Duration(usec):4259708
Size:140, Duration(usec):14180213
Size:275, Duration(usec):9683206
Size:1, Duration(usec):9032387
Size:118, Duration(usec):9682902
Size:927, Duration(usec):5432752
Size:1, Duration(usec):1813530
Size:346, Duration(usec):4258072
Size:1, Duration(usec):14178893
Size:53, Duration(usec):6984948
Size:290, Duration(usec):6984850
Size:143, Duration(usec):6984613
Size:304, Duration(usec):6984505
Size:12, Duration(usec):5431180
Size:210, Duration(usec):1812273
Size:288, Duration(usec):9030323
Size:1, Duration(usec):9030171
Size:332, Duration(usec):4791743
Size:12, Duration(usec):1811782
Size:283, Duration(usec):9680471
Size:280, Duration(usec):9680308
Size:116, Duration(usec):5430086
Size:1, Duration(usec):9029280
Size:294, Duration(usec):4790760
Size:1368, Duration(usec):1810799
Size:11, Duration(usec):6982722
Size:328, Duration(usec):9679388
Size:3, Duration(usec):9028687
Size:269, Duration(usec):14176026
Size:2, Duration(usec):9028541
Size:974, Duration(usec):5429035
Size:1, Duration(usec):4254637
Size:35, Duration(usec):14175338
Size:3, Duration(usec):6981631
Size:1, Duration(usec):6981492
Size:2, Duration(usec):9678077
Size:2, Duration(usec):6981087
Size:1, Duration(usec):9677795
Size:11, Duration(usec):1808893
Size:269, Duration(usec):14174424
Size:11, Duration(usec):5427390
Size:1, Duration(usec):9677295
Size:2, Duration(usec):9677236
Size:5, Duration(usec):6980368
Size:10, Duration(usec):6980158
Size:2, Duration(usec):6980062
Size:1381, Duration(usec):6979571
Size:2241, Duration(usec):4787261
Size:3, Duration(usec):6979309
Size:3, Duration(usec):5425921
Size:281, Duration(usec):4786883
Size:3, Duration(usec):9025051
Size:151, Duration(usec):14172239
Size:2, Duration(usec):4786411
Size:2, Duration(usec):14172042
Size:82, Duration(usec):1806335
Size:333, Duration(usec):4785684
Size:32, Duration(usec):9023921
Size:3, Duration(usec):9674468
Size:2, Duration(usec):9674407
Size:11, Duration(usec):1805368
Size:176, Duration(usec):5424019
Size:190, Duration(usec):4249875
Size:1, Duration(usec):9023234
Size:89, Duration(usec):9673729
Size:2, Duration(usec):9673555
Size:103, Duration(usec):4249383
Size:2, Duration(usec):5423395
Size:2, Duration(usec):4784315
Size:1, Duration(usec):9672773
Size:575, Duration(usec):1803781
Size:12, Duration(usec):9021955
Size:306, Duration(usec):1803613
Size:80, Duration(usec):4247812
Size:12, Duration(usec):6974830
Size:349, Duration(usec):9671565
Size:345, Duration(usec):5421330
Size:212, Duration(usec):4782139
Size:1245, Duration(usec):1801923
Size:3, Duration(usec):4781498
Size:248, Duration(usec):6973509
Size:305, Duration(usec):4781121
Size:265, Duration(usec):5419959
Size:115, Duration(usec):9669669
Size:12, Duration(usec):6972736
Size:3, Duration(usec):6972557
Size:12, Duration(usec):9669034
Size:334, Duration(usec):5418899
Size:190, Duration(usec):9018227
Size:225, Duration(usec):9018008
Size:3, Duration(usec):5418354
Size:3, Duration(usec):5418293
Size:2, Duration(usec):6971335
Size:305, Duration(usec):4778984
Size:765, Duration(usec):4778854
Size:227, Duration(usec):14164285
Size:273, Duration(usec):9667334
Size:343, Duration(usec):14164045
Size:12, Duration(usec):6970253
Size:1, Duration(usec):1798117
Size:1, Duration(usec):9016155
Size:1, Duration(usec):14163213
Size:156, Duration(usec):5416291
Size:3, Duration(usec):9666117
Size:734, Duration(usec):4776978
Size:3, Duration(usec):14162662
Size:2, Duration(usec):4776774
Size:350, Duration(usec):4776629
Size:12, Duration(usec):9665524
Size:1, Duration(usec):6968575
Size:300, Duration(usec):4776273
Size:1, Duration(usec):14161913
Size:314, Duration(usec):4240695
Size:11, Duration(usec):9664711
Size:12, Duration(usec):1795783
Size:159, Duration(usec):9013779
Size:2, Duration(usec):5414126
Size:163, Duration(usec):6967100
Size:3, Duration(usec):1794788
Size:100, Duration(usec):6966606
Size:3, Duration(usec):4774250
Size:1, Duration(usec):9012510
Size:285, Duration(usec):5412962
Size:2, Duration(usec):6966056
Size:208, Duration(usec):9011922
Size:318, Duration(usec):9662424
Size:173, Duration(usec):4773398
Size:2, Duration(usec):5412108
Size:1, Duration(usec):1793034
Size:1, Duration(usec):6965018
Size:167, Duration(usec):1792802
Size:2, Duration(usec):4772560
Size:3353, Duration(usec):14158235
Size:945, Duration(usec):1792450
Size:3, Duration(usec):4236972
Size:47, Duration(usec):4236907
Size:12, Duration(usec):4771902
Size:2, Duration(usec):4771652
Size:10, Duration(usec):1791619
Size:1, Duration(usec):1791179
Size:12, Duration(usec):9009291
Size:11, Duration(usec):9009164
Size:76, Duration(usec):5409663
Size:3, Duration(usec):9008989
Size:2, Duration(usec):14165644
Size:54, Duration(usec):9008487
Size:1, Duration(usec):6962058
Size:1, Duration(usec):1789953
Size:285, Duration(usec):5408500
Size:1232, Duration(usec):1789646
Size:2, Duration(usec):4234285
Size:1, Duration(usec):5408068
Size:138, Duration(usec):5407757
Size:24, Duration(usec):14164012
Size:40, Duration(usec):9657335
Size:793, Duration(usec):4768001
Size:418, Duration(usec):4767944
Size:2, Duration(usec):14163160
Size:11, Duration(usec):9006045
Size:12, Duration(usec):4232303
Size:2, Duration(usec):4232228
Size:745, Duration(usec):1914858
Size:844, Duration(usec):6959024
Size:11, Duration(usec):6958783
Size:316, Duration(usec):4766226
Size:210, Duration(usec):14161218
Size:48, Duration(usec):6958022
Size:1, Duration(usec):4765767
Size:25, Duration(usec):9654482
Size:243, Duration(usec):6957458
Size:11, Duration(usec):9654145
Size:1, Duration(usec):14160377
Size:325, Duration(usec):14159708
Size:84, Duration(usec):4764143
Size:277, Duration(usec):14159221
Size:1349, Duration(usec):9002104
Size:3, Duration(usec):4763633
Size:2, Duration(usec):4228404
Size:1, Duration(usec):4228172
Size:274, Duration(usec):5402074
Size:87, Duration(usec):6955039
Size:21, Duration(usec):4762656
Size:313, Duration(usec):4762292
Size:1, Duration(usec):4762160
Size:577, Duration(usec):4226833
Size:1, Duration(usec):6954090
Size:186, Duration(usec):4226202
Size:334, Duration(usec):6953395
Size:294, Duration(usec):14156454
Size:252, Duration(usec):4225883
Size:998, Duration(usec):7873046
Size:333, Duration(usec):8999124
Size:11, Duration(usec):4760611
Size:11, Duration(usec):4760496
Size:444, Duration(usec):5399260
Size:965, Duration(usec):4224840
Size:863, Duration(usec):8997994
Size:11, Duration(usec):4224334
Size:222, Duration(usec):4759362
Size:1, Duration(usec):7871405
Size:2, Duration(usec):8997274
Size:3, Duration(usec):9647732
Size:12, Duration(usec):9647630
Size:307, Duration(usec):4223106
Size:199, Duration(usec):9647020
Size:269, Duration(usec):1905832
Size:5, Duration(usec):4757423
Size:12, Duration(usec):4757288
Size:340, Duration(usec):4757219
Size:11, Duration(usec):9646104
Size:1, Duration(usec):14152357
Size:3, Duration(usec):14152081
Size:4, Duration(usec):4756641
Size:205, Duration(usec):8994791
Size:678, Duration(usec):1904132
Size:3, Duration(usec):9645056
Size:130, Duration(usec):5394939
Size:79, Duration(usec):9644439
Size:12, Duration(usec):4755291
Size:79, Duration(usec):14150450
Size:11, Duration(usec):4219925
Size:3, Duration(usec):14150279
Size:12, Duration(usec):8993056
Size:2, Duration(usec):9643351
Size:3, Duration(usec):14149355
Size:191, Duration(usec):4753896
Size:11, Duration(usec):7865879
Size:3, Duration(usec):5392517
Size:119, Duration(usec):1901336
Size:227, Duration(usec):5391956
Size:3, Duration(usec):14147915
Size:296, Duration(usec):4752571
Size:319, Duration(usec):8990793
Size:8, Duration(usec):8990659
Size:4, Duration(usec):8990592
Size:2, Duration(usec):5391108
Size:143, Duration(usec):1900040
Size:3, Duration(usec):8990204
Size:3928, Duration(usec):9640753
Size:1, Duration(usec):9640578
Size:121, Duration(usec):14146783
Size:337, Duration(usec):5390318
Size:540, Duration(usec):9640042
Size:2, Duration(usec):14146322
Size:3, Duration(usec):8989282
Size:3, Duration(usec):14145483
Size:145, Duration(usec):7862229
Size:278, Duration(usec):1897786
Size:123, Duration(usec):4214395
Size:1, Duration(usec):9638351
Size:3, Duration(usec):4748908
Size:90, Duration(usec):7860848
Size:3, Duration(usec):8986962
Size:208, Duration(usec):7860562
Size:2, Duration(usec):9637199
Size:2, Duration(usec):1895691
Size:6, Duration(usec):4212498
Size:1111, Duration(usec):8985889
Size:1, Duration(usec):7859537
Size:11, Duration(usec):14142356
Size:105, Duration(usec):5385909
Size:3, Duration(usec):14141976
Size:209, Duration(usec):8984912
Size:125, Duration(usec):4211099
Size:2, Duration(usec):9635037
Size:319, Duration(usec):1893854
Size:2, Duration(usec):4745843
Size:132, Duration(usec):14141007
Size:3, Duration(usec):5384478
Size:2, Duration(usec):14140759
Size:259, Duration(usec):4210240
Size:290, Duration(usec):4210134
Size:1, Duration(usec):7857305
Size:1, Duration(usec):4209818
Size:19, Duration(usec):7856750
Size:3, Duration(usec):5383454
Size:220, Duration(usec):8982640
Size:3, Duration(usec):8982410
Size:338, Duration(usec):5382835
Size:327, Duration(usec):4208614
Size:516, Duration(usec):7855639
Size:124, Duration(usec):4743371
Size:12, Duration(usec):7855311
Size:1, Duration(usec):14138397
Size:301, Duration(usec):4743023
Size:349, Duration(usec):4742959
Size:2, Duration(usec):14138084
Size:3, Duration(usec):14137975
Size:11, Duration(usec):8980890
Size:173, Duration(usec):9631356
Size:1, Duration(usec):7854366
Size:3, Duration(usec):4207018
Size:10, Duration(usec):8980344
Size:280, Duration(usec):8979838
Size:3, Duration(usec):1889093
Size:801, Duration(usec):14136341
Size:12, Duration(usec):5379468
Size:12, Duration(usec):7852514
Size:195, Duration(usec):5379205
Size:3227, Duration(usec):9629068
Size:132, Duration(usec):14135058
Size:280, Duration(usec):1887544
Size:12, Duration(usec):9628067
Size:12, Duration(usec):4203873
Size:192, Duration(usec):4738379
Size:274, Duration(usec):9626914
Size:131, Duration(usec):4202616
Size:30, Duration(usec):8975929
Size:2571, Duration(usec):20270685
Size:3, Duration(usec):9626292
Size:2, Duration(usec):14132461
Size:144, Duration(usec):14132394
Size:335, Duration(usec):4201721
Size:2, Duration(usec):1884574
Size:314, Duration(usec):7848607
Size:216, Duration(usec):9625319
Size:669, Duration(usec):14131590
Size:1, Duration(usec):14131321
Size:150, Duration(usec):9624913
Size:12, Duration(usec):7847697
Size:230, Duration(usec):14130800
Size:204, Duration(usec):14130612
Size:2163, Duration(usec):1883160
Size:1, Duration(usec):4734655
Size:84, Duration(usec):5373484
Size:100, Duration(usec):5373353
Size:309, Duration(usec):20267558
Size:3, Duration(usec):4198920
Size:1, Duration(usec):5372665
Size:12, Duration(usec):5372532
Size:637, Duration(usec):9622436
Size:23, Duration(usec):20266594
Size:113, Duration(usec):5372112
Size:12, Duration(usec):4197933
Size:18, Duration(usec):4197843
Size:552, Duration(usec):4732863
Size:722, Duration(usec):4197647
Size:1, Duration(usec):1880630
Size:113, Duration(usec):4197469
Size:2, Duration(usec):20265691
Size:313, Duration(usec):14127628
Size:86, Duration(usec):4732142
Size:1, Duration(usec):7843903
Size:2, Duration(usec):9620335
Size:157, Duration(usec):7843277
Size:24, Duration(usec):9620011
Size:1, Duration(usec):14126222
Size:2, Duration(usec):1878695
Size:2, Duration(usec):5369339
Size:144, Duration(usec):7842382
Size:348, Duration(usec):4195035
Size:356, Duration(usec):20263327
Size:11, Duration(usec):20262482
Size:182, Duration(usec):20262371
Size:81, Duration(usec):20262191
Size:279, Duration(usec):14124195
Size:4, Duration(usec):1876713
Size:334, Duration(usec):9617495
Size:133, Duration(usec):14123475
Size:11, Duration(usec):4728106
Size:163, Duration(usec):20261197
Size:206, Duration(usec):14122983
Size:2369, Duration(usec):5366433
Size:202, Duration(usec):5366108
Size:1, Duration(usec):4191959
Size:1775, Duration(usec):14122354
Size:2, Duration(usec):1874937
Size:2, Duration(usec):5365821
Size:12, Duration(usec):4191579
Size:2, Duration(usec):4726609
Size:12, Duration(usec):1874461
Size:312, Duration(usec):20259652
Size:119, Duration(usec):5365320
Size:222, Duration(usec):4726165
Size:2, Duration(usec):14121172
Size:223, Duration(usec):5364698
Size:304, Duration(usec):20258906
Size:138, Duration(usec):9614016
Size:97, Duration(usec):4189766
Size:1606, Duration(usec):9613713
Size:9, Duration(usec):4189417
Size:212, Duration(usec):10316859
Size:3, Duration(usec):9612987
Size:207, Duration(usec):20257124
Size:12, Duration(usec):20256975
Size:148, Duration(usec):20256917
Size:102, Duration(usec):9612338
Size:63, Duration(usec):4188055
Size:322, Duration(usec):4723098
Size:297, Duration(usec):20256152
Size:1, Duration(usec):4722780
Size:122, Duration(usec):4722661
Size:2, Duration(usec):7834431
Size:2, Duration(usec):20255338
Size:161, Duration(usec):4721938
Size:12, Duration(usec):9610788
Size:2, Duration(usec):1869404
