Size:56961, Duration(usec):1045636
Size:48602, Duration(usec):908952
Size:152517, Duration(usec):2705228
Size:48742, Duration(usec):1776997
Size:73841, Duration(usec):301143
Size:436987, Duration(usec):3729613
Size:749494, Duration(usec):6247460
Size:21630, Duration(usec):173535
Size:2512219, Duration(usec):22382257
Size:1896962, Duration(usec):10060239
Size:28432, Duration(usec):172837
Size:10478, Duration(usec):20039566
Size:1861328, Duration(usec):17041556
Size:55554, Duration(usec):459103
Size:21740, Duration(usec):88074
Size:4718048, Duration(usec):42881019
Size:592599, Duration(usec):13953386
Size:11302, Duration(usec):59017
Size:1553795, Duration(usec):12545256
Size:74, Duration(usec):34809
Size:4902, Duration(usec):59134
Size:3781362, Duration(usec):35486075
Size:4165940, Duration(usec):32836437
Size:223952, Duration(usec):19945160
Size:21497, Duration(usec):19497414
Size:595692, Duration(usec):2956090
Size:535871, Duration(usec):34846110
Size:17730939, Duration(usec):134662096
Size:8851364, Duration(usec):95764641
Size:3898, Duration(usec):67311
Size:4822459, Duration(usec):39557797
Size:527077, Duration(usec):3834047
Size:5576341, Duration(usec):42355824
Size:6303, Duration(usec):35139985
Size:17252, Duration(usec):67368
Size:29109, Duration(usec):127096
Size:55982, Duration(usec):356429
Size:25861, Duration(usec):116239612
Size:62129, Duration(usec):472160
Size:20467, Duration(usec):29423977
Size:37434, Duration(usec):20930667
Size:43493, Duration(usec):105137754
Size:42906, Duration(usec):71901848
Size:2350160, Duration(usec):20968911
Size:29660, Duration(usec):103683304
Size:24263, Duration(usec):180185
Size:16241, Duration(usec):102882879
Size:4896, Duration(usec):101112
Size:47151, Duration(usec):470720
Size:2533, Duration(usec):96166503
