Size:56961, Duration(usec):927900
Size:48602, Duration(usec):251856
Size:152517, Duration(usec):1651850
Size:48742, Duration(usec):160381
Size:73841, Duration(usec):3389502
Size:436987, Duration(usec):4948355
Size:749494, Duration(usec):8386127
Size:21630, Duration(usec):186071
Size:2512219, Duration(usec):24965520
Size:1896962, Duration(usec):21647701
Size:28432, Duration(usec):239818
Size:10478, Duration(usec):24671523
Size:1861328, Duration(usec):8408316
Size:55554, Duration(usec):4092923
Size:21740, Duration(usec):4267630
Size:4718048, Duration(usec):51693211
Size:592599, Duration(usec):10050393
Size:11302, Duration(usec):19334337
Size:1553795, Duration(usec):20004219
Size:74, Duration(usec):913552
Size:4902, Duration(usec):20623148
Size:3781362, Duration(usec):39383419
Size:4165940, Duration(usec):38519153
Size:223952, Duration(usec):50849249
Size:21497, Duration(usec):50871846
Size:595692, Duration(usec):21348218
Size:535871, Duration(usec):42428212
Size:17730939, Duration(usec):88421386
Size:8851364, Duration(usec):110151895
Size:3898, Duration(usec):390608
Size:4822459, Duration(usec):56602730
Size:527077, Duration(usec):6284270
Size:5576341, Duration(usec):65417221
Size:6303, Duration(usec):55920022
Size:17252, Duration(usec):5811643
Size:29109, Duration(usec):17835342
Size:55982, Duration(usec):5581147
Size:25861, Duration(usec):85624252
Size:62129, Duration(usec):47138833
Size:20467, Duration(usec):63402652
Size:37434, Duration(usec):53810065
Size:43493, Duration(usec):84048199
Size:42906, Duration(usec):106494492
Size:2350160, Duration(usec):62579080
Size:29660, Duration(usec):83928536
Size:24263, Duration(usec):32306913
Size:16241, Duration(usec):84197369
Size:4896, Duration(usec):3007290
Size:47151, Duration(usec):3854424
Size:2533, Duration(usec):83127290
