Size:56961, Duration(usec):1161534
Size:48602, Duration(usec):737541
Size:152517, Duration(usec):2830092
Size:48742, Duration(usec):225650
Size:73841, Duration(usec):1241703
Size:436987, Duration(usec):4168031
Size:749494, Duration(usec):7753999
Size:21630, Duration(usec):168419
Size:2512219, Duration(usec):32672287
Size:1896962, Duration(usec):19747247
Size:28432, Duration(usec):266331
Size:10478, Duration(usec):31918242
Size:1861328, Duration(usec):17167143
Size:55554, Duration(usec):1460673
Size:21740, Duration(usec):1226480
Size:4718048, Duration(usec):21564519
Size:592599, Duration(usec):18880922
Size:11302, Duration(usec):14780145
Size:1553795, Duration(usec):20243525
Size:74, Duration(usec):148561
Size:4902, Duration(usec):23738122
Size:3781362, Duration(usec):41943618
Size:4165940, Duration(usec):38338835
Size:223952, Duration(usec):14718395
Size:21497, Duration(usec):14613979
Size:595692, Duration(usec):14305199
Size:535871, Duration(usec):45235360
Size:17730939, Duration(usec):141018801
Size:8851364, Duration(usec):106680568
Size:3898, Duration(usec):136800
Size:4822459, Duration(usec):53502930
Size:527077, Duration(usec):5853387
Size:5576341, Duration(usec):59428960
Size:6303, Duration(usec):52032400
Size:17252, Duration(usec):4685601
Size:29109, Duration(usec):6901519
Size:55982, Duration(usec):4149111
Size:25861, Duration(usec):135003844
Size:62129, Duration(usec):6167037
Size:20467, Duration(usec):55106261
Size:37434, Duration(usec):47372908
Size:43493, Duration(usec):131526156
Size:42906, Duration(usec):99384051
Size:2350160, Duration(usec):13494466
Size:29660, Duration(usec):131583158
Size:24263, Duration(usec):25256866
Size:16241, Duration(usec):131323799
Size:4896, Duration(usec):252152
Size:47151, Duration(usec):1163498
Size:2533, Duration(usec):129065039
