Size:56961, Duration(usec):3918888
Size:48602, Duration(usec):263210
Size:152517, Duration(usec):948898
Size:48742, Duration(usec):298453
Size:73841, Duration(usec):2384759
Size:436987, Duration(usec):3209637
Size:749494, Duration(usec):6005417
Size:21630, Duration(usec):382787
Size:2512219, Duration(usec):28913391
Size:1896962, Duration(usec):17572898
Size:28432, Duration(usec):292278
Size:10478, Duration(usec):28270837
Size:1861328, Duration(usec):9314340
Size:55554, Duration(usec):708588
Size:21740, Duration(usec):552415
Size:4718048, Duration(usec):48300442
Size:592599, Duration(usec):8637930
Size:11302, Duration(usec):12567954
Size:1553795, Duration(usec):16565106
Size:74, Duration(usec):94008
Size:4902, Duration(usec):19703279
Size:3781362, Duration(usec):46001981
Size:4165940, Duration(usec):38158811
Size:223952, Duration(usec):43288007
Size:21497, Duration(usec):43226778
Size:595692, Duration(usec):10501831
Size:535871, Duration(usec):50074962
Size:17730939, Duration(usec):84625591
Size:8851364, Duration(usec):111749543
Size:3898, Duration(usec):71802
Size:4822459, Duration(usec):54878785
Size:527077, Duration(usec):4265010
Size:5576341, Duration(usec):57235918
Size:6303, Duration(usec):53470081
Size:17252, Duration(usec):2474717
Size:29109, Duration(usec):2990438
Size:55982, Duration(usec):1658752
Size:25861, Duration(usec):78443449
Size:62129, Duration(usec):34735210
Size:20467, Duration(usec):53312034
Size:37434, Duration(usec):48976037
Size:43493, Duration(usec):74868940
Size:42906, Duration(usec):103865070
Size:2350160, Duration(usec):49865976
Size:29660, Duration(usec):74448174
Size:24263, Duration(usec):24967479
Size:16241, Duration(usec):74208772
Size:4896, Duration(usec):141291
Size:47151, Duration(usec):522094
Size:2533, Duration(usec):72034341
