Size:56961, Duration(usec):1271509
Size:48602, Duration(usec):528880
Size:152517, Duration(usec):1258640
Size:48742, Duration(usec):371981
Size:73841, Duration(usec):639039
Size:436987, Duration(usec):3116403
Size:749494, Duration(usec):6055443
Size:21630, Duration(usec):124013
Size:2512219, Duration(usec):30158626
Size:1896962, Duration(usec):17557585
Size:28432, Duration(usec):98288
Size:10478, Duration(usec):29453357
Size:1861328, Duration(usec):18466750
Size:55554, Duration(usec):872200
Size:21740, Duration(usec):1125848
Size:4718048, Duration(usec):47729734
Size:592599, Duration(usec):23805421
Size:11302, Duration(usec):12993235
Size:1553795, Duration(usec):5239200
Size:74, Duration(usec):184846
Size:4902, Duration(usec):21781256
Size:3781362, Duration(usec):39828101
Size:4165940, Duration(usec):32972820
Size:223952, Duration(usec):42157907
Size:21497, Duration(usec):42093166
Size:595692, Duration(usec):12209489
Size:535871, Duration(usec):43071984
Size:17730939, Duration(usec):166751366
Size:8851364, Duration(usec):111039712
Size:3898, Duration(usec):100695
Size:4822459, Duration(usec):53404071
Size:527077, Duration(usec):8625922
Size:5576341, Duration(usec):21983849
Size:6303, Duration(usec):52080718
Size:17252, Duration(usec):7069653
Size:29109, Duration(usec):5719639
Size:55982, Duration(usec):7078453
Size:25861, Duration(usec):161286679
Size:62129, Duration(usec):34568157
Size:20467, Duration(usec):18146471
Size:37434, Duration(usec):47901575
Size:43493, Duration(usec):157929954
Size:42906, Duration(usec):103959787
Size:2350160, Duration(usec):49957580
Size:29660, Duration(usec):157445698
Size:24263, Duration(usec):21550135
Size:16241, Duration(usec):157238113
Size:4896, Duration(usec):2190372
Size:47151, Duration(usec):2196100
Size:2533, Duration(usec):155205192
