Size:56961, Duration(usec):294145
Size:48602, Duration(usec):216256
Size:152517, Duration(usec):923331
Size:48742, Duration(usec):162712
Size:73841, Duration(usec):384088
Size:436987, Duration(usec):2782309
Size:749494, Duration(usec):4645407
Size:21630, Duration(usec):17762
Size:2512219, Duration(usec):16666081
Size:1896962, Duration(usec):12728496
Size:28432, Duration(usec):52798
Size:10478, Duration(usec):13214368
Size:1861328, Duration(usec):12369421
Size:55554, Duration(usec):831958
Size:21740, Duration(usec):27241
Size:4718048, Duration(usec):31145102
Size:592599, Duration(usec):4934834
Size:11302, Duration(usec):19261
Size:1553795, Duration(usec):10402353
Size:74, Duration(usec):155929
Size:4902, Duration(usec):359554
Size:3781362, Duration(usec):25210059
Size:4165940, Duration(usec):27770140
Size:223952, Duration(usec):1365763
Size:21497, Duration(usec):737865
Size:595692, Duration(usec):3554816
Size:535871, Duration(usec):20614878
Size:17730939, Duration(usec):116845046
Size:8851364, Duration(usec):60836332
Size:3898, Duration(usec):29435
Size:4822459, Duration(usec):31779901
Size:527077, Duration(usec):3274552
Size:5576341, Duration(usec):36769526
Size:6303, Duration(usec):25147683
Size:17252, Duration(usec):203886
Size:29109, Duration(usec):61389
Size:55982, Duration(usec):247216
Size:25861, Duration(usec):89004068
Size:62129, Duration(usec):315512
Size:20467, Duration(usec):17209369
Size:37434, Duration(usec):3775036
Size:43493, Duration(usec):72370787
Size:42906, Duration(usec):25226250
Size:2350160, Duration(usec):15831131
Size:29660, Duration(usec):69812011
Size:24263, Duration(usec):113881
Size:16241, Duration(usec):68825675
Size:4896, Duration(usec):14089
Size:47151, Duration(usec):193145
Size:2533, Duration(usec):58668417
