Size:56961, Duration(usec):5268421
Size:48602, Duration(usec):226213
Size:152517, Duration(usec):710960
Size:48742, Duration(usec):350840
Size:73841, Duration(usec):5742320
Size:436987, Duration(usec):6002771
Size:749494, Duration(usec):7001397
Size:21630, Duration(usec):2576968
Size:2512219, Duration(usec):49359841
Size:1896962, Duration(usec):39834532
Size:28432, Duration(usec):610672
Size:10478, Duration(usec):42309389
Size:1861328, Duration(usec):23416413
Size:55554, Duration(usec):183850
Size:21740, Duration(usec):311438
Size:4718048, Duration(usec):88055895
Size:592599, Duration(usec):7773318
Size:11302, Duration(usec):702591
Size:1553795, Duration(usec):10223716
Size:74, Duration(usec):138147
Size:4902, Duration(usec):44696
Size:3781362, Duration(usec):78465451
Size:4165940, Duration(usec):68673471
Size:223952, Duration(usec):17149472
Size:21497, Duration(usec):15852592
Size:595692, Duration(usec):8290667
Size:535871, Duration(usec):26974969
Size:17730939, Duration(usec):379826099
Size:8851364, Duration(usec):194588802
Size:3898, Duration(usec):129399
Size:4822459, Duration(usec):616535837
Size:527077, Duration(usec):4302062
Size:5576341, Duration(usec):410864074
Size:6303, Duration(usec):4193067
Size:17252, Duration(usec):347739
Size:29109, Duration(usec):1193185
Size:55982, Duration(usec):3254222
Size:25861, Duration(usec):6217265
Size:62129, Duration(usec):14497386
Size:20467, Duration(usec):371718475
Size:37434, Duration(usec):560457087
Size:43493, Duration(usec):290676052
Size:42906, Duration(usec):123840638
Size:2350160, Duration(usec):228604283
Size:29660, Duration(usec):231604481
Size:24263, Duration(usec):60845944
Size:16241, Duration(usec):229203498
Size:4896, Duration(usec):45485364
Size:47151, Duration(usec):61326342
Size:2533, Duration(usec):208876587
