Size:56961, Duration(usec):2147440
Size:48602, Duration(usec):210821
Size:152517, Duration(usec):3256439
Size:48742, Duration(usec):160259
Size:73841, Duration(usec):1429416
Size:436987, Duration(usec):2797280
Size:749494, Duration(usec):6663168
Size:21630, Duration(usec):76139
Size:2512219, Duration(usec):22620280
Size:1896962, Duration(usec):15834035
Size:28432, Duration(usec):126767
Size:10478, Duration(usec):21612857
Size:1861328, Duration(usec):4941072
Size:55554, Duration(usec):350000
Size:21740, Duration(usec):194281
Size:4718048, Duration(usec):61223230
Size:592599, Duration(usec):3286935
Size:11302, Duration(usec):9399737
Size:1553795, Duration(usec):16341031
Size:74, Duration(usec):181394
Size:4902, Duration(usec):10639232
Size:3781362, Duration(usec):52887181
Size:4165940, Duration(usec):46414534
Size:223952, Duration(usec):55167116
Size:21497, Duration(usec):55044893
Size:595692, Duration(usec):7512285
Size:535871, Duration(usec):56212822
Size:17730939, Duration(usec):52479831
Size:8851364, Duration(usec):130937279
Size:3898, Duration(usec):82056
Size:4822459, Duration(usec):44458516
Size:527077, Duration(usec):4132149
Size:5576341, Duration(usec):59381587
Size:6303, Duration(usec):42615745
Size:17252, Duration(usec):2844298
Size:29109, Duration(usec):226934
Size:55982, Duration(usec):1696094
Size:25861, Duration(usec):44565474
Size:62129, Duration(usec):44011504
Size:20467, Duration(usec):53892651
Size:37434, Duration(usec):36920321
Size:43493, Duration(usec):39984075
Size:42906, Duration(usec):120828062
Size:2350160, Duration(usec):58120525
Size:29660, Duration(usec):39298676
Size:24263, Duration(usec):29489463
Size:16241, Duration(usec):38955577
Size:4896, Duration(usec):91353
Size:47151, Duration(usec):878819
Size:2533, Duration(usec):36066758
