Size:56961, Duration(usec):262488
Size:48602, Duration(usec):190431
Size:152517, Duration(usec):867691
Size:48742, Duration(usec):214054
Size:73841, Duration(usec):409959
Size:436987, Duration(usec):2748786
Size:749494, Duration(usec):4735896
Size:21630, Duration(usec):50480
Size:2512219, Duration(usec):16231549
Size:1896962, Duration(usec):12121320
Size:28432, Duration(usec):93721
Size:10478, Duration(usec):12712563
Size:1861328, Duration(usec):12162494
Size:55554, Duration(usec):226431
Size:21740, Duration(usec):58281
Size:4718048, Duration(usec):30688062
Size:592599, Duration(usec):4572819
Size:11302, Duration(usec):28810
Size:1553795, Duration(usec):10404511
Size:74, Duration(usec):29854
Size:4902, Duration(usec):30285
Size:3781362, Duration(usec):24531133
Size:4165940, Duration(usec):27941388
Size:223952, Duration(usec):1315415
Size:21497, Duration(usec):749655
Size:595692, Duration(usec):3485241
Size:535871, Duration(usec):20219389
Size:17730939, Duration(usec):118443937
Size:8851364, Duration(usec):61778714
Size:3898, Duration(usec):110131
Size:4822459, Duration(usec):32384088
Size:527077, Duration(usec):3413566
Size:5576341, Duration(usec):36911227
Size:6303, Duration(usec):25744184
Size:17252, Duration(usec):42748
Size:29109, Duration(usec):66102
Size:55982, Duration(usec):248242
Size:25861, Duration(usec):90646781
Size:62129, Duration(usec):284868
Size:20467, Duration(usec):17419989
Size:37434, Duration(usec):4372132
Size:43493, Duration(usec):73689241
Size:42906, Duration(usec):26114438
Size:2350160, Duration(usec):15882160
Size:29660, Duration(usec):71154154
Size:24263, Duration(usec):113176
Size:16241, Duration(usec):69977224
Size:4896, Duration(usec):433994
Size:47151, Duration(usec):188326
Size:2533, Duration(usec):59819977
