Size:56961, Duration(usec):221679
Size:48602, Duration(usec):122769
Size:152517, Duration(usec):879813
Size:48742, Duration(usec):137729
Size:73841, Duration(usec):395274
Size:436987, Duration(usec):2770935
Size:749494, Duration(usec):4817005
Size:21630, Duration(usec):28345
Size:2512219, Duration(usec):16648791
Size:1896962, Duration(usec):12112706
Size:28432, Duration(usec):34982
Size:10478, Duration(usec):9598365
Size:1861328, Duration(usec):12119626
Size:55554, Duration(usec):160064
Size:21740, Duration(usec):25381
Size:4718048, Duration(usec):30507195
Size:592599, Duration(usec):3681231
Size:11302, Duration(usec):18908
Size:1553795, Duration(usec):9975134
Size:74, Duration(usec):62293
Size:4902, Duration(usec):44975
Size:3781362, Duration(usec):24834519
Size:4165940, Duration(usec):27328642
Size:223952, Duration(usec):1168214
Size:21497, Duration(usec):27693
Size:595692, Duration(usec):3689141
Size:535871, Duration(usec):12002086
Size:17730939, Duration(usec):118666635
Size:8851364, Duration(usec):58463543
Size:3898, Duration(usec):49708
Size:4822459, Duration(usec):31792245
Size:527077, Duration(usec):3196991
Size:5576341, Duration(usec):36477529
Size:6303, Duration(usec):18629131
Size:17252, Duration(usec):28295
Size:29109, Duration(usec):169480
Size:55982, Duration(usec):166873
Size:25861, Duration(usec):62961399
Size:62129, Duration(usec):290659
Size:20467, Duration(usec):28768
Size:37434, Duration(usec):128540
Size:43493, Duration(usec):28984779
Size:42906, Duration(usec):111548
Size:2350160, Duration(usec):15700827
Size:29660, Duration(usec):23847153
Size:24263, Duration(usec):86066
Size:16241, Duration(usec):21515105
Size:4896, Duration(usec):13680
Size:47151, Duration(usec):124944
Size:2533, Duration(usec):1194523
