Size:56961, Duration(usec):1123739
Size:48602, Duration(usec):181354
Size:152517, Duration(usec):2067075
Size:48742, Duration(usec):306992
Size:73841, Duration(usec):1888930
Size:436987, Duration(usec):5786747
Size:749494, Duration(usec):10789724
Size:21630, Duration(usec):270353
Size:2512219, Duration(usec):29674349
Size:1896962, Duration(usec):20539783
Size:28432, Duration(usec):338783
Size:10478, Duration(usec):29634066
Size:1861328, Duration(usec):8603749
Size:55554, Duration(usec):4861388
Size:21740, Duration(usec):4879878
Size:4718048, Duration(usec):49311941
Size:592599, Duration(usec):10238784
Size:11302, Duration(usec):18253792
Size:1553795, Duration(usec):21229145
Size:74, Duration(usec):1693489
Size:4902, Duration(usec):25774840
Size:3781362, Duration(usec):40594271
Size:4165940, Duration(usec):40903450
Size:223952, Duration(usec):47611356
Size:21497, Duration(usec):47624194
Size:595692, Duration(usec):21032923
Size:535871, Duration(usec):47669149
Size:17730939, Duration(usec):100855879
Size:8851364, Duration(usec):116421651
Size:3898, Duration(usec):3309507
Size:4822459, Duration(usec):67274836
Size:527077, Duration(usec):8495344
Size:5576341, Duration(usec):67612548
Size:6303, Duration(usec):66631977
Size:17252, Duration(usec):7770187
Size:29109, Duration(usec):17735109
Size:55982, Duration(usec):7561333
Size:25861, Duration(usec):98176939
Size:62129, Duration(usec):44106164
Size:20467, Duration(usec):65679588
Size:37434, Duration(usec):64532558
Size:43493, Duration(usec):96601714
Size:42906, Duration(usec):113033973
Size:2350160, Duration(usec):62405149
Size:29660, Duration(usec):96414818
Size:24263, Duration(usec):35094751
Size:16241, Duration(usec):96366631
Size:4896, Duration(usec):5609429
Size:47151, Duration(usec):5696151
Size:2533, Duration(usec):95350054
