Size:56961, Duration(usec):339881
Size:48602, Duration(usec):161687
Size:152517, Duration(usec):601634
Size:48742, Duration(usec):295489
Size:73841, Duration(usec):655301
Size:436987, Duration(usec):2649915
Size:749494, Duration(usec):4267077
Size:21630, Duration(usec):61443
Size:2512219, Duration(usec):17043198
Size:1896962, Duration(usec):12449363
Size:28432, Duration(usec):99190
Size:10478, Duration(usec):14793552
Size:1861328, Duration(usec):12733248
Size:55554, Duration(usec):185396
Size:21740, Duration(usec):73370
Size:4718048, Duration(usec):31053476
Size:592599, Duration(usec):8758793
Size:11302, Duration(usec):29800
Size:1553795, Duration(usec):9903659
Size:74, Duration(usec):17682
Size:4902, Duration(usec):14158
Size:3781362, Duration(usec):24582253
Size:4165940, Duration(usec):27995513
Size:223952, Duration(usec):8728259
Size:21497, Duration(usec):8208332
Size:595692, Duration(usec):3992147
Size:535871, Duration(usec):22647053
Size:17730939, Duration(usec):118714554
Size:8851364, Duration(usec):69193444
Size:3898, Duration(usec):3763
Size:4822459, Duration(usec):31796888
Size:527077, Duration(usec):3658881
Size:5576341, Duration(usec):36434864
Size:6303, Duration(usec):27404031
Size:17252, Duration(usec):33255
Size:29109, Duration(usec):77185
Size:55982, Duration(usec):187899
Size:25861, Duration(usec):100190362
Size:62129, Duration(usec):319314
Size:20467, Duration(usec):23509764
Size:37434, Duration(usec):13359175
Size:43493, Duration(usec):88877707
Size:42906, Duration(usec):45645971
Size:2350160, Duration(usec):15260542
Size:29660, Duration(usec):87209299
Size:24263, Duration(usec):130308
Size:16241, Duration(usec):86417758
Size:4896, Duration(usec):4069
Size:47151, Duration(usec):165924
Size:2533, Duration(usec):79648289
