Size:56961, Duration(usec):333641
Size:48602, Duration(usec):138891
Size:152517, Duration(usec):1179010
Size:48742, Duration(usec):269215
Size:73841, Duration(usec):656405
Size:436987, Duration(usec):2594696
Size:749494, Duration(usec):4743192
Size:21630, Duration(usec):53890
Size:2512219, Duration(usec):16871388
Size:1896962, Duration(usec):12478077
Size:28432, Duration(usec):99524
Size:10478, Duration(usec):14602013
Size:1861328, Duration(usec):12993307
Size:55554, Duration(usec):204089
Size:21740, Duration(usec):71314
Size:4718048, Duration(usec):28877297
Size:592599, Duration(usec):8777990
Size:11302, Duration(usec):35974
Size:1553795, Duration(usec):9974557
Size:74, Duration(usec):17359
Size:4902, Duration(usec):18567
Size:3781362, Duration(usec):24541673
Size:4165940, Duration(usec):27659107
Size:223952, Duration(usec):6623553
Size:21497, Duration(usec):6267002
Size:595692, Duration(usec):3843177
Size:535871, Duration(usec):22595823
Size:17730939, Duration(usec):117955766
Size:8851364, Duration(usec):69152023
Size:3898, Duration(usec):24253
Size:4822459, Duration(usec):31563046
Size:527077, Duration(usec):3637635
Size:5576341, Duration(usec):36306189
Size:6303, Duration(usec):27320126
Size:17252, Duration(usec):43371
Size:29109, Duration(usec):54359
Size:55982, Duration(usec):196530
Size:25861, Duration(usec):99553403
Size:62129, Duration(usec):248104
Size:20467, Duration(usec):23438239
Size:37434, Duration(usec):13215409
Size:43493, Duration(usec):88355848
Size:42906, Duration(usec):45493854
Size:2350160, Duration(usec):14664789
Size:29660, Duration(usec):86759505
Size:24263, Duration(usec):186232
Size:16241, Duration(usec):85966633
Size:4896, Duration(usec):15131
Size:47151, Duration(usec):182894
Size:2533, Duration(usec):79198519
