Size:56961, Duration(usec):1268614
Size:48602, Duration(usec):399818
Size:152517, Duration(usec):655037
Size:48742, Duration(usec):340015
Size:73841, Duration(usec):1832433
Size:436987, Duration(usec):4047341
Size:749494, Duration(usec):2885569
Size:21630, Duration(usec):900453
Size:2512219, Duration(usec):21544407
Size:1896962, Duration(usec):20735440
Size:28432, Duration(usec):581348
Size:10478, Duration(usec):19194083
Size:1861328, Duration(usec):16844129
Size:55554, Duration(usec):176973
Size:21740, Duration(usec):102003
Size:4718048, Duration(usec):46406055
Size:592599, Duration(usec):12077511
Size:11302, Duration(usec):5480568
Size:1553795, Duration(usec):13929262
Size:74, Duration(usec):36192
Size:4902, Duration(usec):55682
Size:3781362, Duration(usec):68207982
Size:4165940, Duration(usec):35604429
Size:223952, Duration(usec):24854472
Size:21497, Duration(usec):24587612
Size:595692, Duration(usec):6312317
Size:535871, Duration(usec):70770562
Size:17730939, Duration(usec):155921272
Size:8851364, Duration(usec):133846842
Size:3898, Duration(usec):24133
Size:4822459, Duration(usec):39850863
Size:527077, Duration(usec):1412338
Size:5576341, Duration(usec):52905613
Size:6303, Duration(usec):35426703
Size:17252, Duration(usec):189496
Size:29109, Duration(usec):176159
Size:55982, Duration(usec):87999
Size:25861, Duration(usec):137532513
Size:62129, Duration(usec):256739
Size:20467, Duration(usec):39927475
Size:37434, Duration(usec):21519406
Size:43493, Duration(usec):126482485
Size:42906, Duration(usec):110062796
Size:2350160, Duration(usec):22700756
Size:29660, Duration(usec):124806465
Size:24263, Duration(usec):226769
Size:16241, Duration(usec):124012250
Size:4896, Duration(usec):13303
Size:47151, Duration(usec):119474
Size:2533, Duration(usec):117244080
