Size:56961, Duration(usec):566547
Size:48602, Duration(usec):1418578
Size:152517, Duration(usec):4124869
Size:48742, Duration(usec):1439279
Size:73841, Duration(usec):2792889
Size:436987, Duration(usec):4428680
Size:749494, Duration(usec):11174578
Size:21630, Duration(usec):68120
Size:2512219, Duration(usec):51498949
Size:1896962, Duration(usec):28339465
Size:28432, Duration(usec):62455
Size:10478, Duration(usec):44482422
Size:1861328, Duration(usec):27989052
Size:55554, Duration(usec):132234
Size:21740, Duration(usec):152602
Size:4718048, Duration(usec):95590552
Size:592599, Duration(usec):14000455
Size:11302, Duration(usec):1063157
Size:1553795, Duration(usec):66984454
Size:74, Duration(usec):38194
Size:4902, Duration(usec):403601
Size:3781362, Duration(usec):84467591
Size:4165940, Duration(usec):27883527
Size:223952, Duration(usec):16255349
Size:21497, Duration(usec):16130504
Size:595692, Duration(usec):13924235
Size:535871, Duration(usec):7654684
Size:17730939, Duration(usec):482190612
Size:8851364, Duration(usec):315331186
Size:3898, Duration(usec):213136
Size:4822459, Duration(usec):67243605
Size:527077, Duration(usec):37199324
Size:5576341, Duration(usec):326564516
Size:6303, Duration(usec):1354016
Size:17252, Duration(usec):20031313
Size:29109, Duration(usec):119343
Size:55982, Duration(usec):2468906
Size:25861, Duration(usec):912796
Size:62129, Duration(usec):5531600
Size:20467, Duration(usec):287392510
Size:37434, Duration(usec):11133625
Size:43493, Duration(usec):392643089
Size:42906, Duration(usec):244690556
Size:2350160, Duration(usec):375135501
Size:29660, Duration(usec):90761123
Size:24263, Duration(usec):934640
Size:16241, Duration(usec):133282407
Size:4896, Duration(usec):64660486
Size:47151, Duration(usec):72817610
Size:2533, Duration(usec):112955455
