Size:56961, Duration(usec):4550793
Size:48602, Duration(usec):638142
Size:152517, Duration(usec):17202128
Size:48742, Duration(usec):221756
Size:73841, Duration(usec):4997228
Size:436987, Duration(usec):2467379
Size:749494, Duration(usec):13758375
Size:21630, Duration(usec):594811
Size:2512219, Duration(usec):15032270
Size:1896962, Duration(usec):31582886
Size:28432, Duration(usec):160885
Size:10478, Duration(usec):7981868
Size:1861328, Duration(usec):26935335
Size:55554, Duration(usec):943246
Size:21740, Duration(usec):123833
Size:4718048, Duration(usec):78480003
Size:592599, Duration(usec):12236107
Size:11302, Duration(usec):4530374
Size:1553795, Duration(usec):72451541
Size:74, Duration(usec):298852
Size:4902, Duration(usec):37525
Size:3781362, Duration(usec):215335751
Size:4165940, Duration(usec):338331376
Size:223952, Duration(usec):6037983
Size:21497, Duration(usec):4639903
Size:595692, Duration(usec):17206744
Size:535871, Duration(usec):13444212
Size:17730939, Duration(usec):502152436
Size:8851364, Duration(usec):296083071
Size:3898, Duration(usec):110781
Size:4822459, Duration(usec):23776723
Size:527077, Duration(usec):12386768
Size:5576341, Duration(usec):571881267
Size:6303, Duration(usec):442824
Size:17252, Duration(usec):290955
Size:29109, Duration(usec):2132870
Size:55982, Duration(usec):2150200
Size:25861, Duration(usec):849404
Size:62129, Duration(usec):521243
Size:20467, Duration(usec):532739875
Size:37434, Duration(usec):138586
Size:43493, Duration(usec):412399860
Size:42906, Duration(usec):224810193
Size:2350160, Duration(usec):296752771
Size:29660, Duration(usec):574764
Size:24263, Duration(usec):219276937
Size:16241, Duration(usec):5234976
Size:4896, Duration(usec):28608300
Size:47151, Duration(usec):80453639
Size:2533, Duration(usec):3897113
