Size:56961, Duration(usec):1131756
Size:48602, Duration(usec):876509
Size:152517, Duration(usec):706757
Size:48742, Duration(usec):469621
Size:73841, Duration(usec):1309386
Size:436987, Duration(usec):4150206
Size:749494, Duration(usec):3477457
Size:21630, Duration(usec):172562
Size:2512219, Duration(usec):23961809
Size:1896962, Duration(usec):15658226
Size:28432, Duration(usec):409001
Size:10478, Duration(usec):22205337
Size:1861328, Duration(usec):17648057
Size:55554, Duration(usec):270352
Size:21740, Duration(usec):167243
Size:4718048, Duration(usec):39123846
Size:592599, Duration(usec):15770156
Size:11302, Duration(usec):4220623
Size:1553795, Duration(usec):14234320
Size:74, Duration(usec):128988
Size:4902, Duration(usec):2948236
Size:3781362, Duration(usec):39597711
Size:4165940, Duration(usec):28899503
Size:223952, Duration(usec):22661867
Size:21497, Duration(usec):22776149
Size:595692, Duration(usec):4672897
Size:535871, Duration(usec):38669961
Size:17730939, Duration(usec):152040747
Size:8851364, Duration(usec):102179024
Size:3898, Duration(usec):26913
Size:4822459, Duration(usec):42409918
Size:527077, Duration(usec):2579483
Size:5576341, Duration(usec):47984062
Size:6303, Duration(usec):39093860
Size:17252, Duration(usec):30013
Size:29109, Duration(usec):406437
Size:55982, Duration(usec):327150
Size:25861, Duration(usec):138181323
Size:62129, Duration(usec):3926306
Size:20467, Duration(usec):38229007
Size:37434, Duration(usec):28438952
Size:43493, Duration(usec):130198670
Size:42906, Duration(usec):84390750
Size:2350160, Duration(usec):17845114
Size:29660, Duration(usec):128961769
Size:24263, Duration(usec):155083
Size:16241, Duration(usec):128880476
Size:4896, Duration(usec):19748
Size:47151, Duration(usec):221907
Size:2533, Duration(usec):123798573
