Size:56961, Duration(usec):272481
Size:48602, Duration(usec):119696
Size:152517, Duration(usec):880242
Size:48742, Duration(usec):80824
Size:73841, Duration(usec):354288
Size:436987, Duration(usec):2821065
Size:749494, Duration(usec):4815912
Size:21630, Duration(usec):26989
Size:2512219, Duration(usec):16389249
Size:1896962, Duration(usec):13537958
Size:28432, Duration(usec):138000
Size:10478, Duration(usec):15659116
Size:1861328, Duration(usec):12231358
Size:55554, Duration(usec):565635
Size:21740, Duration(usec):514160
Size:4718048, Duration(usec):38430449
Size:592599, Duration(usec):13703727
Size:11302, Duration(usec):8444091
Size:1553795, Duration(usec):13950836
Size:74, Duration(usec):35529
Size:4902, Duration(usec):7091609
Size:3781362, Duration(usec):27582436
Size:4165940, Duration(usec):27156239
Size:223952, Duration(usec):32121625
Size:21497, Duration(usec):32108804
Size:595692, Duration(usec):5557787
Size:535871, Duration(usec):29156436
Size:17730939, Duration(usec):117328249
Size:8851364, Duration(usec):83210460
Size:3898, Duration(usec):58973
Size:4822459, Duration(usec):33354447
Size:527077, Duration(usec):3331308
Size:5576341, Duration(usec):40048934
Size:6303, Duration(usec):31884625
Size:17252, Duration(usec):1461571
Size:29109, Duration(usec):785716
Size:55982, Duration(usec):774336
Size:25861, Duration(usec):111157178
Size:62129, Duration(usec):23809264
Size:20467, Duration(usec):35739118
Size:37434, Duration(usec):27281934
Size:43493, Duration(usec):107828427
Size:42906, Duration(usec):75304918
Size:2350160, Duration(usec):30134166
Size:29660, Duration(usec):107291592
Size:24263, Duration(usec):14262721
Size:16241, Duration(usec):107215016
Size:4896, Duration(usec):64951
Size:47151, Duration(usec):128597
Size:2533, Duration(usec):104956239
