Size:56961, Duration(usec):1172335
Size:48602, Duration(usec):1290163
Size:152517, Duration(usec):3055763
Size:48742, Duration(usec):397385
Size:73841, Duration(usec):318897
Size:436987, Duration(usec):3856526
Size:749494, Duration(usec):8447517
Size:21630, Duration(usec):159223
Size:2512219, Duration(usec):24112466
Size:1896962, Duration(usec):9382222
Size:28432, Duration(usec):158764
Size:10478, Duration(usec):23674928
Size:1861328, Duration(usec):17424292
Size:55554, Duration(usec):2390171
Size:21740, Duration(usec):2356085
Size:4718048, Duration(usec):43144056
Size:592599, Duration(usec):21224010
Size:11302, Duration(usec):5863127
Size:1553795, Duration(usec):12668032
Size:74, Duration(usec):72794
Size:4902, Duration(usec):17738033
Size:3781362, Duration(usec):35285931
Size:4165940, Duration(usec):36004051
Size:223952, Duration(usec):39566881
Size:21497, Duration(usec):39534537
Size:595692, Duration(usec):4543099
Size:535871, Duration(usec):41934806
Size:17730939, Duration(usec):165284881
Size:8851364, Duration(usec):108690922
Size:3898, Duration(usec):159610
Size:4822459, Duration(usec):48450324
Size:527077, Duration(usec):4544438
Size:5576341, Duration(usec):49812945
Size:6303, Duration(usec):47441391
Size:17252, Duration(usec):3687337
Size:29109, Duration(usec):132396
Size:55982, Duration(usec):3213114
Size:25861, Duration(usec):161209805
Size:62129, Duration(usec):33719215
Size:20467, Duration(usec):46865086
Size:37434, Duration(usec):44293425
Size:43493, Duration(usec):158691883
Size:42906, Duration(usec):103224554
Size:2350160, Duration(usec):49304790
Size:29660, Duration(usec):158441935
Size:24263, Duration(usec):27029413
Size:16241, Duration(usec):158257101
Size:4896, Duration(usec):91811
Size:47151, Duration(usec):336822
Size:2533, Duration(usec):156693277
