Size:56961, Duration(usec):1265491
Size:48602, Duration(usec):187481
Size:152517, Duration(usec):1571161
Size:48742, Duration(usec):181200
Size:73841, Duration(usec):2062090
Size:436987, Duration(usec):3941604
Size:749494, Duration(usec):6422507
Size:21630, Duration(usec):100099
Size:2512219, Duration(usec):31006705
Size:1896962, Duration(usec):20318569
Size:28432, Duration(usec):103600
Size:10478, Duration(usec):30432355
Size:1861328, Duration(usec):10090275
Size:55554, Duration(usec):1894940
Size:21740, Duration(usec):1825270
Size:4718048, Duration(usec):50437556
Size:592599, Duration(usec):10077672
Size:11302, Duration(usec):15734069
Size:1553795, Duration(usec):17101941
Size:74, Duration(usec):192212
Size:4902, Duration(usec):22725123
Size:3781362, Duration(usec):44401018
Size:4165940, Duration(usec):41872229
Size:223952, Duration(usec):44813969
Size:21497, Duration(usec):45337569
Size:595692, Duration(usec):16642179
Size:535871, Duration(usec):47702764
Size:17730939, Duration(usec):93534343
Size:8851364, Duration(usec):111657872
Size:3898, Duration(usec):113401
Size:4822459, Duration(usec):54016823
Size:527077, Duration(usec):5027931
Size:5576341, Duration(usec):57067174
Size:6303, Duration(usec):52710585
Size:17252, Duration(usec):3395648
Size:29109, Duration(usec):9900600
Size:55982, Duration(usec):3094237
Size:25861, Duration(usec):88045290
Size:62129, Duration(usec):38023335
Size:20467, Duration(usec):53162572
Size:37434, Duration(usec):48839102
Size:43493, Duration(usec):84944989
Size:42906, Duration(usec):104571231
Size:2350160, Duration(usec):49707550
Size:29660, Duration(usec):84435056
Size:24263, Duration(usec):30093680
Size:16241, Duration(usec):84323610
Size:4896, Duration(usec):172236
Size:47151, Duration(usec):1524929
Size:2533, Duration(usec):82290708
