Size:56961, Duration(usec):630303
Size:48602, Duration(usec):255198
Size:152517, Duration(usec):3349642
Size:48742, Duration(usec):399457
Size:73841, Duration(usec):1712213
Size:436987, Duration(usec):4244488
Size:749494, Duration(usec):7568225
Size:21630, Duration(usec):182550
Size:2512219, Duration(usec):25276721
Size:1896962, Duration(usec):22050274
Size:28432, Duration(usec):128811
Size:10478, Duration(usec):24793723
Size:1861328, Duration(usec):19857715
Size:55554, Duration(usec):2165704
Size:21740, Duration(usec):2021423
Size:4718048, Duration(usec):23467683
Size:592599, Duration(usec):24351405
Size:11302, Duration(usec):18429337
Size:1553795, Duration(usec):23188503
Size:74, Duration(usec):107873
Size:4902, Duration(usec):18648511
Size:3781362, Duration(usec):44291668
Size:4165940, Duration(usec):41476885
Size:223952, Duration(usec):18688141
Size:21497, Duration(usec):18625713
Size:595692, Duration(usec):18925234
Size:535871, Duration(usec):47098397
Size:17730939, Duration(usec):165508260
Size:8851364, Duration(usec):114472579
Size:3898, Duration(usec):129305
Size:4822459, Duration(usec):50259811
Size:527077, Duration(usec):6491960
Size:5576341, Duration(usec):61101780
Size:6303, Duration(usec):49222221
Size:17252, Duration(usec):5099123
Size:29109, Duration(usec):13367394
Size:55982, Duration(usec):4734712
Size:25861, Duration(usec):160977099
Size:62129, Duration(usec):12294107
Size:20467, Duration(usec):57887165
Size:37434, Duration(usec):45784405
Size:43493, Duration(usec):158685708
Size:42906, Duration(usec):108785861
Size:2350160, Duration(usec):20899452
Size:29660, Duration(usec):158330268
Size:24263, Duration(usec):31640711
Size:16241, Duration(usec):158361660
Size:4896, Duration(usec):647870
Size:47151, Duration(usec):814401
Size:2533, Duration(usec):156667539
