Size:56961, Duration(usec):314549
Size:48602, Duration(usec):146874
Size:152517, Duration(usec):923258
Size:48742, Duration(usec):60161
Size:73841, Duration(usec):458529
Size:436987, Duration(usec):2812601
Size:749494, Duration(usec):4704990
Size:21630, Duration(usec):79721
Size:2512219, Duration(usec):16234620
Size:1896962, Duration(usec):12157682
Size:28432, Duration(usec):90329
Size:10478, Duration(usec):12756077
Size:1861328, Duration(usec):12031353
Size:55554, Duration(usec):161946
Size:21740, Duration(usec):82541
Size:4718048, Duration(usec):30483359
Size:592599, Duration(usec):4632188
Size:11302, Duration(usec):34688
Size:1553795, Duration(usec):9805210
Size:74, Duration(usec):27151
Size:4902, Duration(usec):41113
Size:3781362, Duration(usec):24926591
Size:4165940, Duration(usec):27550025
Size:223952, Duration(usec):1321146
Size:21497, Duration(usec):751948
Size:595692, Duration(usec):3907579
Size:535871, Duration(usec):20656096
Size:17730939, Duration(usec):114240729
Size:8851364, Duration(usec):62425550
Size:3898, Duration(usec):178404
Size:4822459, Duration(usec):32594467
Size:527077, Duration(usec):3259230
Size:5576341, Duration(usec):37506062
Size:6303, Duration(usec):25954524
Size:17252, Duration(usec):74974
Size:29109, Duration(usec):542846
Size:55982, Duration(usec):278202
Size:25861, Duration(usec):86475160
Size:62129, Duration(usec):331176
Size:20467, Duration(usec):18094436
Size:37434, Duration(usec):4642491
Size:43493, Duration(usec):69790618
Size:42906, Duration(usec):26776155
Size:2350160, Duration(usec):15816248
Size:29660, Duration(usec):67308440
Size:24263, Duration(usec):97638
Size:16241, Duration(usec):66253256
Size:4896, Duration(usec):32111
Size:47151, Duration(usec):155385
Size:2533, Duration(usec):56095999
