Size:56961, Duration(usec):486432
Size:48602, Duration(usec):5099997
Size:152517, Duration(usec):7341820
Size:48742, Duration(usec):1103203
Size:73841, Duration(usec):6796809
Size:436987, Duration(usec):7863229
Size:749494, Duration(usec):10960754
Size:21630, Duration(usec):82100
Size:2512219, Duration(usec):38246871
Size:1896962, Duration(usec):30885959
Size:28432, Duration(usec):47599
Size:10478, Duration(usec):24181503
Size:1861328, Duration(usec):30877967
Size:55554, Duration(usec):1770726
Size:21740, Duration(usec):604353
Size:4718048, Duration(usec):78876296
Size:592599, Duration(usec):11268453
Size:11302, Duration(usec):4764056
Size:1553795, Duration(usec):19024244
Size:74, Duration(usec):151167
Size:4902, Duration(usec):103878
Size:3781362, Duration(usec):66399945
Size:4165940, Duration(usec):36069172
Size:223952, Duration(usec):3058037
Size:21497, Duration(usec):171641
Size:595692, Duration(usec):14252331
Size:535871, Duration(usec):8638687
Size:17730939, Duration(usec):338997894
Size:8851364, Duration(usec):142714831
Size:3898, Duration(usec):1485983
Size:4822459, Duration(usec):65799929
Size:527077, Duration(usec):7296053
Size:5576341, Duration(usec):119228102
Size:6303, Duration(usec):1134268
Size:17252, Duration(usec):1047171
Size:29109, Duration(usec):1776720
Size:55982, Duration(usec):403767
Size:25861, Duration(usec):3476790
Size:62129, Duration(usec):1874183
Size:20467, Duration(usec):40940572
Size:37434, Duration(usec):403091
Size:43493, Duration(usec):159486962
Size:42906, Duration(usec):458168
Size:2350160, Duration(usec):39919480
Size:29660, Duration(usec):267937
Size:24263, Duration(usec):112057
Size:16241, Duration(usec):40889
Size:4896, Duration(usec):108277
Size:47151, Duration(usec):192049
Size:2533, Duration(usec):28480
