Size:56961, Duration(usec):162311
Size:48602, Duration(usec):81827
Size:152517, Duration(usec):688550
Size:48742, Duration(usec):111310
Size:73841, Duration(usec):230871
Size:436987, Duration(usec):2552564
Size:749494, Duration(usec):4638523
Size:21630, Duration(usec):61601
Size:2512219, Duration(usec):16787810
Size:1896962, Duration(usec):12346736
Size:28432, Duration(usec):57064
Size:10478, Duration(usec):16456183
Size:1861328, Duration(usec):14158924
Size:55554, Duration(usec):156934
Size:21740, Duration(usec):58972
Size:4718048, Duration(usec):31615236
Size:592599, Duration(usec):15390794
Size:11302, Duration(usec):7777388
Size:1553795, Duration(usec):11249168
Size:74, Duration(usec):18669
Size:4902, Duration(usec):8829732
Size:3781362, Duration(usec):24683604
Size:4165940, Duration(usec):27167744
Size:223952, Duration(usec):26397479
Size:21497, Duration(usec):26270607
Size:595692, Duration(usec):5830799
Size:535871, Duration(usec):26474498
Size:17730939, Duration(usec):124876008
Size:8851364, Duration(usec):81561785
Size:3898, Duration(usec):32295
Size:4822459, Duration(usec):34474387
Size:527077, Duration(usec):3353740
Size:5576341, Duration(usec):39486097
Size:6303, Duration(usec):33152290
Size:17252, Duration(usec):1804269
Size:29109, Duration(usec):499011
Size:55982, Duration(usec):1136898
Size:25861, Duration(usec):119471823
Size:62129, Duration(usec):18866374
Size:20467, Duration(usec):35582679
Size:37434, Duration(usec):28991109
Size:43493, Duration(usec):116163220
Size:42906, Duration(usec):76995536
Size:2350160, Duration(usec):30432571
Size:29660, Duration(usec):115646951
Size:24263, Duration(usec):15455028
Size:16241, Duration(usec):115424803
Size:4896, Duration(usec):446278
Size:47151, Duration(usec):483032
Size:2533, Duration(usec):113391907
