Size:56961, Duration(usec):147038
Size:48602, Duration(usec):1200003
Size:152517, Duration(usec):2350092
Size:48742, Duration(usec):1287781
Size:73841, Duration(usec):784445
Size:436987, Duration(usec):7764893
Size:749494, Duration(usec):5365411
Size:21630, Duration(usec):53988
Size:2512219, Duration(usec):18102805
Size:1896962, Duration(usec):19753970
Size:28432, Duration(usec):114140
Size:10478, Duration(usec):16380185
Size:1861328, Duration(usec):15593376
Size:55554, Duration(usec):1714753
Size:21740, Duration(usec):1124871
Size:4718048, Duration(usec):45232003
Size:592599, Duration(usec):15663447
Size:11302, Duration(usec):8320930
Size:1553795, Duration(usec):40068879
Size:74, Duration(usec):103671
Size:4902, Duration(usec):38012
Size:3781362, Duration(usec):9349238
Size:4165940, Duration(usec):77058413
Size:223952, Duration(usec):30058331
Size:21497, Duration(usec):29668379
Size:595692, Duration(usec):3705267
Size:535871, Duration(usec):7418044
Size:17730939, Duration(usec):167678422
Size:8851364, Duration(usec):24085744
Size:3898, Duration(usec):72242
Size:4822459, Duration(usec):44145350
Size:527077, Duration(usec):4638926
Size:5576341, Duration(usec):88360921
Size:6303, Duration(usec):40821491
Size:17252, Duration(usec):483573
Size:29109, Duration(usec):325117
Size:55982, Duration(usec):733405
Size:25861, Duration(usec):153828695
Size:62129, Duration(usec):10972656
Size:20467, Duration(usec):78786045
Size:37434, Duration(usec):30268990
Size:43493, Duration(usec):145382816
Size:42906, Duration(usec):6259973
Size:2350160, Duration(usec):26501828
Size:29660, Duration(usec):144144188
Size:24263, Duration(usec):47315798
Size:16241, Duration(usec):143550773
Size:4896, Duration(usec):127438
Size:47151, Duration(usec):177773
Size:2533, Duration(usec):138506719
