Size:56961, Duration(usec):1500465
Size:48602, Duration(usec):975231
Size:152517, Duration(usec):11432148
Size:48742, Duration(usec):242365
Size:73841, Duration(usec):1132163
Size:436987, Duration(usec):7782940
Size:749494, Duration(usec):17516351
Size:21630, Duration(usec):108574
Size:2512219, Duration(usec):6922908
Size:1896962, Duration(usec):20592316
Size:28432, Duration(usec):311441
Size:10478, Duration(usec):5167722
Size:1861328, Duration(usec):41404573
Size:55554, Duration(usec):1073203
Size:21740, Duration(usec):450138
Size:4718048, Duration(usec):54867981
Size:592599, Duration(usec):52597336
Size:11302, Duration(usec):9132016
Size:1553795, Duration(usec):12335520
Size:74, Duration(usec):95176
Size:4902, Duration(usec):21057
Size:3781362, Duration(usec):39403486
Size:4165940, Duration(usec):80783988
Size:223952, Duration(usec):39596045
Size:21497, Duration(usec):39278254
Size:595692, Duration(usec):7408051
Size:535871, Duration(usec):38115684
Size:17730939, Duration(usec):188626863
Size:8851364, Duration(usec):88940329
Size:3898, Duration(usec):481555
Size:4822459, Duration(usec):12462395
Size:527077, Duration(usec):25801145
Size:5576341, Duration(usec):50689626
Size:6303, Duration(usec):9138541
Size:17252, Duration(usec):21508982
Size:29109, Duration(usec):855427
Size:55982, Duration(usec):19969050
Size:25861, Duration(usec):174888734
Size:62129, Duration(usec):19912859
Size:20467, Duration(usec):41261742
Size:37434, Duration(usec):92741
Size:43493, Duration(usec):166541940
Size:42906, Duration(usec):71097090
Size:2350160, Duration(usec):29727666
Size:29660, Duration(usec):165318372
Size:24263, Duration(usec):51099978
Size:16241, Duration(usec):164749773
Size:4896, Duration(usec):7717374
Size:47151, Duration(usec):7677464
Size:2533, Duration(usec):159667865
