Size:56961, Duration(usec):888653
Size:48602, Duration(usec):676446
Size:152517, Duration(usec):615386
Size:48742, Duration(usec):374410
Size:73841, Duration(usec):1106190
Size:436987, Duration(usec):3647879
Size:749494, Duration(usec):2815638
Size:21630, Duration(usec):435774
Size:2512219, Duration(usec):22593889
Size:1896962, Duration(usec):15526765
Size:28432, Duration(usec):267594
Size:10478, Duration(usec):22040968
Size:1861328, Duration(usec):18449789
Size:55554, Duration(usec):1696758
Size:21740, Duration(usec):2216534
Size:4718048, Duration(usec):44731448
Size:592599, Duration(usec):20328359
Size:11302, Duration(usec):11779772
Size:1553795, Duration(usec):12272117
Size:74, Duration(usec):146486
Size:4902, Duration(usec):15667700
Size:3781362, Duration(usec):30914379
Size:4165940, Duration(usec):33434438
Size:223952, Duration(usec):40068974
Size:21497, Duration(usec):40014611
Size:595692, Duration(usec):11866042
Size:535871, Duration(usec):32723139
Size:17730939, Duration(usec):159747405
Size:8851364, Duration(usec):96044360
Size:3898, Duration(usec):23176
Size:4822459, Duration(usec):49604756
Size:527077, Duration(usec):2518232
Size:5576341, Duration(usec):44504173
Size:6303, Duration(usec):48552575
Size:17252, Duration(usec):1541633
Size:29109, Duration(usec):6234025
Size:55982, Duration(usec):976328
Size:25861, Duration(usec):155158647
Size:62129, Duration(usec):33930994
Size:20467, Duration(usec):41238636
Size:37434, Duration(usec):45187833
Size:43493, Duration(usec):152470721
Size:42906, Duration(usec):90311148
Size:2350160, Duration(usec):46976226
Size:29660, Duration(usec):152387422
Size:24263, Duration(usec):23645072
Size:16241, Duration(usec):152297320
Size:4896, Duration(usec):20382
Size:47151, Duration(usec):89643
Size:2533, Duration(usec):150603225
