Size:56961, Duration(usec):989451
Size:48602, Duration(usec):846015
Size:152517, Duration(usec):3069514
Size:48742, Duration(usec):188352
Size:73841, Duration(usec):4408836
Size:436987, Duration(usec):1194304
Size:749494, Duration(usec):11123172
Size:21630, Duration(usec):279351
Size:2512219, Duration(usec):32530452
Size:1896962, Duration(usec):19425387
Size:28432, Duration(usec):684577
Size:10478, Duration(usec):32060185
Size:1861328, Duration(usec):19993914
Size:55554, Duration(usec):293993
Size:21740, Duration(usec):243149
Size:4718048, Duration(usec):54213381
Size:592599, Duration(usec):25040747
Size:11302, Duration(usec):16379477
Size:1553795, Duration(usec):13948164
Size:74, Duration(usec):19695
Size:4902, Duration(usec):26937404
Size:3781362, Duration(usec):44358416
Size:4165940, Duration(usec):17841190
Size:223952, Duration(usec):51301075
Size:21497, Duration(usec):51250288
Size:595692, Duration(usec):16499166
Size:535871, Duration(usec):48047946
Size:17730939, Duration(usec):167760793
Size:8851364, Duration(usec):114955853
Size:3898, Duration(usec):977706
Size:4822459, Duration(usec):59880890
Size:527077, Duration(usec):8121460
Size:5576341, Duration(usec):53738301
Size:6303, Duration(usec):58994369
Size:17252, Duration(usec):7210926
Size:29109, Duration(usec):12414833
Size:55982, Duration(usec):7595743
Size:25861, Duration(usec):164154912
Size:62129, Duration(usec):46237657
Size:20467, Duration(usec):51125734
Size:37434, Duration(usec):56235521
Size:43493, Duration(usec):161982071
Size:42906, Duration(usec):110275014
Size:2350160, Duration(usec):63028280
Size:29660, Duration(usec):161708852
Size:24263, Duration(usec):9926848
Size:16241, Duration(usec):161591739
Size:4896, Duration(usec):4379424
Size:47151, Duration(usec):4459530
Size:2533, Duration(usec):160236404
