Size:56961, Duration(usec):188102
Size:48602, Duration(usec):124414
Size:152517, Duration(usec):707992
Size:48742, Duration(usec):67326
Size:73841, Duration(usec):243405
Size:436987, Duration(usec):2546061
Size:749494, Duration(usec):4531021
Size:21630, Duration(usec):32487
Size:2512219, Duration(usec):16471554
Size:1896962, Duration(usec):12311040
Size:28432, Duration(usec):51429
Size:10478, Duration(usec):15471726
Size:1861328, Duration(usec):12757617
Size:55554, Duration(usec):159957
Size:21740, Duration(usec):31430
Size:4718048, Duration(usec):32728576
Size:592599, Duration(usec):14111637
Size:11302, Duration(usec):5783557
Size:1553795, Duration(usec):9923234
Size:74, Duration(usec):18390
Size:4902, Duration(usec):4461897
Size:3781362, Duration(usec):25929713
Size:4165940, Duration(usec):28026442
Size:223952, Duration(usec):24010076
Size:21497, Duration(usec):23906225
Size:595692, Duration(usec):3224924
Size:535871, Duration(usec):26774641
Size:17730939, Duration(usec):119397850
Size:8851364, Duration(usec):80448567
Size:3898, Duration(usec):15443
Size:4822459, Duration(usec):31870039
Size:527077, Duration(usec):3163897
Size:5576341, Duration(usec):37464588
Size:6303, Duration(usec):30022621
Size:17252, Duration(usec):848094
Size:29109, Duration(usec):118176
Size:55982, Duration(usec):117610
Size:25861, Duration(usec):111457800
Size:62129, Duration(usec):13140158
Size:20467, Duration(usec):31914433
Size:37434, Duration(usec):24136472
Size:43493, Duration(usec):106873209
Size:42906, Duration(usec):70356197
Size:2350160, Duration(usec):24101269
Size:29660, Duration(usec):106157383
Size:24263, Duration(usec):11183536
Size:16241, Duration(usec):105931843
Size:4896, Duration(usec):18477
Size:47151, Duration(usec):81306
Size:2533, Duration(usec):103027790
