Size:56961, Duration(usec):189548
Size:48602, Duration(usec):126381
Size:152517, Duration(usec):803187
Size:48742, Duration(usec):128471
Size:73841, Duration(usec):293459
Size:436987, Duration(usec):3043726
Size:749494, Duration(usec):4623486
Size:21630, Duration(usec):400277
Size:2512219, Duration(usec):12316247
Size:1896962, Duration(usec):12660919
Size:28432, Duration(usec):823313
Size:10478, Duration(usec):11316429
Size:1861328, Duration(usec):12773702
Size:55554, Duration(usec):191615
Size:21740, Duration(usec):56398
Size:4718048, Duration(usec):33384735
Size:592599, Duration(usec):13879097
Size:11302, Duration(usec):6141883
Size:1553795, Duration(usec):10716546
Size:74, Duration(usec):15177
Size:4902, Duration(usec):298972
Size:3781362, Duration(usec):25909398
Size:4165940, Duration(usec):27675914
Size:223952, Duration(usec):24651208
Size:21497, Duration(usec):24618450
Size:595692, Duration(usec):3972558
Size:535871, Duration(usec):27149925
Size:17730939, Duration(usec):119337990
Size:8851364, Duration(usec):81733066
Size:3898, Duration(usec):572401
Size:4822459, Duration(usec):30686702
Size:527077, Duration(usec):3363294
Size:5576341, Duration(usec):37676968
Size:6303, Duration(usec):28894514
Size:17252, Duration(usec):948534
Size:29109, Duration(usec):113560
Size:55982, Duration(usec):249147
Size:25861, Duration(usec):111489097
Size:62129, Duration(usec):13861192
Size:20467, Duration(usec):32146610
Size:37434, Duration(usec):22814278
Size:43493, Duration(usec):106863294
Size:42906, Duration(usec):71838418
Size:2350160, Duration(usec):23572123
Size:29660, Duration(usec):106236373
Size:24263, Duration(usec):10796315
Size:16241, Duration(usec):105969810
Size:4896, Duration(usec):61821
Size:47151, Duration(usec):197723
Size:2533, Duration(usec):103065759
