Size:56961, Duration(usec):1784207
Size:48602, Duration(usec):501392
Size:152517, Duration(usec):1108447
Size:48742, Duration(usec):307790
Size:73841, Duration(usec):808398
Size:436987, Duration(usec):5050580
Size:749494, Duration(usec):7825231
Size:21630, Duration(usec):180492
Size:2512219, Duration(usec):31021462
Size:1896962, Duration(usec):8657456
Size:28432, Duration(usec):256314
Size:10478, Duration(usec):30653855
Size:1861328, Duration(usec):17840542
Size:55554, Duration(usec):4112841
Size:21740, Duration(usec):4770626
Size:4718048, Duration(usec):49119561
Size:592599, Duration(usec):21128036
Size:11302, Duration(usec):5968014
Size:1553795, Duration(usec):18194862
Size:74, Duration(usec):1021994
Size:4902, Duration(usec):26185636
Size:3781362, Duration(usec):39894545
Size:4165940, Duration(usec):37517342
Size:223952, Duration(usec):45942088
Size:21497, Duration(usec):45928258
Size:595692, Duration(usec):5523003
Size:535871, Duration(usec):45037135
Size:17730939, Duration(usec):155537470
Size:8851364, Duration(usec):109842301
Size:3898, Duration(usec):163900
Size:4822459, Duration(usec):59710854
Size:527077, Duration(usec):4985078
Size:5576341, Duration(usec):59452555
Size:6303, Duration(usec):58928581
Size:17252, Duration(usec):3974968
Size:29109, Duration(usec):1595715
Size:55982, Duration(usec):4145774
Size:25861, Duration(usec):152557557
Size:62129, Duration(usec):42054655
Size:20467, Duration(usec):57287699
Size:37434, Duration(usec):56530812
Size:43493, Duration(usec):151005267
Size:42906, Duration(usec):105802096
Size:2350160, Duration(usec):55728484
Size:29660, Duration(usec):150776405
Size:24263, Duration(usec):30565097
Size:16241, Duration(usec):150718208
Size:4896, Duration(usec):3088345
Size:47151, Duration(usec):3149228
Size:2533, Duration(usec):149522286
