Size:56961, Duration(usec):369654
Size:48602, Duration(usec):162200
Size:152517, Duration(usec):898477
Size:48742, Duration(usec):42283
Size:73841, Duration(usec):464967
Size:436987, Duration(usec):2730614
Size:749494, Duration(usec):4840275
Size:21630, Duration(usec):48627
Size:2512219, Duration(usec):16604704
Size:1896962, Duration(usec):12475307
Size:28432, Duration(usec):104450
Size:10478, Duration(usec):15922256
Size:1861328, Duration(usec):11884303
Size:55554, Duration(usec):427423
Size:21740, Duration(usec):340292
Size:4718048, Duration(usec):32702258
Size:592599, Duration(usec):13526223
Size:11302, Duration(usec):8084027
Size:1553795, Duration(usec):12237736
Size:74, Duration(usec):36111
Size:4902, Duration(usec):8219687
Size:3781362, Duration(usec):25292155
Size:4165940, Duration(usec):28408603
Size:223952, Duration(usec):27043347
Size:21497, Duration(usec):26902539
Size:595692, Duration(usec):6998045
Size:535871, Duration(usec):27090856
Size:17730939, Duration(usec):120888386
Size:8851364, Duration(usec):82364848
Size:3898, Duration(usec):95001
Size:4822459, Duration(usec):34108373
Size:527077, Duration(usec):3504841
Size:5576341, Duration(usec):39983275
Size:6303, Duration(usec):32793882
Size:17252, Duration(usec):1856313
Size:29109, Duration(usec):679088
Size:55982, Duration(usec):1525862
Size:25861, Duration(usec):115550265
Size:62129, Duration(usec):19534754
Size:20467, Duration(usec):36079913
Size:37434, Duration(usec):28713547
Size:43493, Duration(usec):112402372
Size:42906, Duration(usec):75353264
Size:2350160, Duration(usec):31313394
Size:29660, Duration(usec):112109238
Size:24263, Duration(usec):16542902
Size:16241, Duration(usec):111884193
Size:4896, Duration(usec):37626
Size:47151, Duration(usec):181917
Size:2533, Duration(usec):109851274
