Size:56961, Duration(usec):250441
Size:48602, Duration(usec):163694
Size:152517, Duration(usec):775989
Size:48742, Duration(usec):168149
Size:73841, Duration(usec):331701
Size:436987, Duration(usec):2635969
Size:749494, Duration(usec):4628303
Size:21630, Duration(usec):46030
Size:2512219, Duration(usec):16350754
Size:1896962, Duration(usec):12611836
Size:28432, Duration(usec):72760
Size:10478, Duration(usec):15205893
Size:1861328, Duration(usec):13100478
Size:55554, Duration(usec):244802
Size:21740, Duration(usec):60836
Size:4718048, Duration(usec):32931170
Size:592599, Duration(usec):12464799
Size:11302, Duration(usec):4986575
Size:1553795, Duration(usec):10173942
Size:74, Duration(usec):18162
Size:4902, Duration(usec):2358654
Size:3781362, Duration(usec):25160279
Size:4165940, Duration(usec):27518728
Size:223952, Duration(usec):22442454
Size:21497, Duration(usec):22387682
Size:595692, Duration(usec):3962829
Size:535871, Duration(usec):26442739
Size:17730939, Duration(usec):117032142
Size:8851364, Duration(usec):79468188
Size:3898, Duration(usec):24161
Size:4822459, Duration(usec):31704908
Size:527077, Duration(usec):3476181
Size:5576341, Duration(usec):36631579
Size:6303, Duration(usec):29543148
Size:17252, Duration(usec):629832
Size:29109, Duration(usec):59738
Size:55982, Duration(usec):274032
Size:25861, Duration(usec):107947824
Size:62129, Duration(usec):9769847
Size:20467, Duration(usec):30131435
Size:37434, Duration(usec):22539374
Size:43493, Duration(usec):102478064
Size:42906, Duration(usec):67554212
Size:2350160, Duration(usec):18199883
Size:29660, Duration(usec):101822561
Size:24263, Duration(usec):7773105
Size:16241, Duration(usec):101431248
Size:4896, Duration(usec):16630
Size:47151, Duration(usec):596549
Size:2533, Duration(usec):98049530
