Size:56961, Duration(usec):296748
Size:48602, Duration(usec):248494
Size:152517, Duration(usec):911894
Size:48742, Duration(usec):267707
Size:73841, Duration(usec):419915
Size:436987, Duration(usec):2760946
Size:749494, Duration(usec):4759704
Size:21630, Duration(usec):84801
Size:2512219, Duration(usec):16718014
Size:1896962, Duration(usec):12191129
Size:28432, Duration(usec):139115
Size:10478, Duration(usec):15394083
Size:1861328, Duration(usec):13199314
Size:55554, Duration(usec):235329
Size:21740, Duration(usec):98932
Size:4718048, Duration(usec):31584822
Size:592599, Duration(usec):12116691
Size:11302, Duration(usec):3157486
Size:1553795, Duration(usec):10178962
Size:74, Duration(usec):19625
Size:4902, Duration(usec):70246
Size:3781362, Duration(usec):24860452
Size:4165940, Duration(usec):27458742
Size:223952, Duration(usec):18602602
Size:21497, Duration(usec):18526645
Size:595692, Duration(usec):3871884
Size:535871, Duration(usec):25414097
Size:17730939, Duration(usec):117435323
Size:8851364, Duration(usec):75875247
Size:3898, Duration(usec):40425
Size:4822459, Duration(usec):31877968
Size:527077, Duration(usec):3374346
Size:5576341, Duration(usec):36562936
Size:6303, Duration(usec):29226402
Size:17252, Duration(usec):88497
Size:29109, Duration(usec):166518
Size:55982, Duration(usec):295134
Size:25861, Duration(usec):106404070
Size:62129, Duration(usec):3068054
Size:20467, Duration(usec):28756798
Size:37434, Duration(usec):20670996
Size:43493, Duration(usec):99842339
Size:42906, Duration(usec):61777898
Size:2350160, Duration(usec):16023471
Size:29660, Duration(usec):98858886
Size:24263, Duration(usec):3758644
Size:16241, Duration(usec):98447330
Size:4896, Duration(usec):360297
Size:47151, Duration(usec):895198
Size:2533, Duration(usec):94388055
