Size:56961, Duration(usec):1152364
Size:48602, Duration(usec):176061
Size:152517, Duration(usec):14861486
Size:48742, Duration(usec):155694
Size:73841, Duration(usec):1914920
Size:436987, Duration(usec):4387925
Size:749494, Duration(usec):19380994
Size:21630, Duration(usec):733623
Size:2512219, Duration(usec):40631589
Size:1896962, Duration(usec):30459600
Size:28432, Duration(usec):281273
Size:10478, Duration(usec):26624088
Size:1861328, Duration(usec):15407158
Size:55554, Duration(usec):213369
Size:21740, Duration(usec):101887
Size:4718048, Duration(usec):84281129
Size:592599, Duration(usec):4278670
Size:11302, Duration(usec):574571
Size:1553795, Duration(usec):24038194
Size:74, Duration(usec):141406
Size:4902, Duration(usec):157267
Size:3781362, Duration(usec):62541932
Size:4165940, Duration(usec):86247281
Size:223952, Duration(usec):12253220
Size:21497, Duration(usec):10246369
Size:595692, Duration(usec):7582008
Size:535871, Duration(usec):11445825
Size:17730939, Duration(usec):148854211
Size:8851364, Duration(usec):194658278
Size:3898, Duration(usec):319130
Size:4822459, Duration(usec):103956142
Size:527077, Duration(usec):7725526
Size:5576341, Duration(usec):123023159
Size:6303, Duration(usec):530066
Size:17252, Duration(usec):907959
Size:29109, Duration(usec):1474613
Size:55982, Duration(usec):13772952
Size:25861, Duration(usec):10974683
Size:62129, Duration(usec):3603751
Size:20467, Duration(usec):44754779
Size:37434, Duration(usec):307572
Size:43493, Duration(usec):176374
Size:42906, Duration(usec):51444991
Size:2350160, Duration(usec):40271233
Size:29660, Duration(usec):2363987
Size:24263, Duration(usec):379401
Size:16241, Duration(usec):458067
Size:4896, Duration(usec):331520
Size:47151, Duration(usec):223071
Size:2533, Duration(usec):39078
