Size:56961, Duration(usec):256444
Size:48602, Duration(usec):194496
Size:152517, Duration(usec):834909
Size:48742, Duration(usec):217695
Size:73841, Duration(usec):347242
Size:436987, Duration(usec):2683839
Size:749494, Duration(usec):4655033
Size:21630, Duration(usec):76037
Size:2512219, Duration(usec):16794453
Size:1896962, Duration(usec):12704296
Size:28432, Duration(usec):104957
Size:10478, Duration(usec):16033646
Size:1861328, Duration(usec):12473529
Size:55554, Duration(usec):249840
Size:21740, Duration(usec):72963
Size:4718048, Duration(usec):31957687
Size:592599, Duration(usec):13987486
Size:11302, Duration(usec):7625619
Size:1553795, Duration(usec):10473383
Size:74, Duration(usec):118869
Size:4902, Duration(usec):7466028
Size:3781362, Duration(usec):25718392
Size:4165940, Duration(usec):27524526
Size:223952, Duration(usec):25497005
Size:21497, Duration(usec):25497073
Size:595692, Duration(usec):5070857
Size:535871, Duration(usec):27379919
Size:17730939, Duration(usec):122761511
Size:8851364, Duration(usec):83460819
Size:3898, Duration(usec):6273
Size:4822459, Duration(usec):33180086
Size:527077, Duration(usec):3270797
Size:5576341, Duration(usec):39180154
Size:6303, Duration(usec):31716610
Size:17252, Duration(usec):1487595
Size:29109, Duration(usec):179209
Size:55982, Duration(usec):660166
Size:25861, Duration(usec):116667165
Size:62129, Duration(usec):17241895
Size:20467, Duration(usec):34826241
Size:37434, Duration(usec):27061216
Size:43493, Duration(usec):113158893
Size:42906, Duration(usec):75530481
Size:2350160, Duration(usec):28835119
Size:29660, Duration(usec):112640845
Size:24263, Duration(usec):14367385
Size:16241, Duration(usec):112428943
Size:4896, Duration(usec):54418
Size:47151, Duration(usec):207492
Size:2533, Duration(usec):110170190
