Size:56961, Duration(usec):133317
Size:48602, Duration(usec):98481
Size:152517, Duration(usec):588409
Size:48742, Duration(usec):123782
Size:73841, Duration(usec):186148
Size:436987, Duration(usec):2476622
Size:749494, Duration(usec):4115019
Size:21630, Duration(usec):280965
Size:2512219, Duration(usec):16726039
Size:1896962, Duration(usec):12462819
Size:28432, Duration(usec):372403
Size:10478, Duration(usec):15565984
Size:1861328, Duration(usec):12576448
Size:55554, Duration(usec):130258
Size:21740, Duration(usec):40226
Size:4718048, Duration(usec):32402553
Size:592599, Duration(usec):12361399
Size:11302, Duration(usec):4822369
Size:1553795, Duration(usec):10699608
Size:74, Duration(usec):90542
Size:4902, Duration(usec):2711135
Size:3781362, Duration(usec):24987360
Size:4165940, Duration(usec):27198606
Size:223952, Duration(usec):21957257
Size:21497, Duration(usec):21911683
Size:595692, Duration(usec):3622694
Size:535871, Duration(usec):26089916
Size:17730939, Duration(usec):114995521
Size:8851364, Duration(usec):78094031
Size:3898, Duration(usec):15412
Size:4822459, Duration(usec):32091371
Size:527077, Duration(usec):2923032
Size:5576341, Duration(usec):37175822
Size:6303, Duration(usec):29913436
Size:17252, Duration(usec):136855
Size:29109, Duration(usec):72401
Size:55982, Duration(usec):119821
Size:25861, Duration(usec):105911304
Size:62129, Duration(usec):9307009
Size:20467, Duration(usec):30706337
Size:37434, Duration(usec):22874045
Size:43493, Duration(usec):100510421
Size:42906, Duration(usec):66209241
Size:2350160, Duration(usec):18831297
Size:29660, Duration(usec):99862004
Size:24263, Duration(usec):7378037
Size:16241, Duration(usec):99501074
Size:4896, Duration(usec):54318
Size:47151, Duration(usec):165318
Size:2533, Duration(usec):96119350
