Size:56961, Duration(usec):272047
Size:48602, Duration(usec):1704608
Size:152517, Duration(usec):2954733
Size:48742, Duration(usec):461202
Size:73841, Duration(usec):1839366
Size:436987, Duration(usec):5787065
Size:749494, Duration(usec):34271782
Size:21630, Duration(usec):70164
Size:2512219, Duration(usec):24448699
Size:1896962, Duration(usec):62860055
Size:28432, Duration(usec):73175
Size:10478, Duration(usec):24928187
Size:1861328, Duration(usec):58436936
Size:55554, Duration(usec):3594263
Size:21740, Duration(usec):3363861
Size:4718048, Duration(usec):99978701
Size:592599, Duration(usec):72121949
Size:11302, Duration(usec):58625843
Size:1553795, Duration(usec):60623682
Size:74, Duration(usec):63970
Size:4902, Duration(usec):17210426
Size:3781362, Duration(usec):12339199
Size:4165940, Duration(usec):43177834
Size:223952, Duration(usec):94050025
Size:21497, Duration(usec):93904138
Size:595692, Duration(usec):61357766
Size:535871, Duration(usec):12213207
Size:17730939, Duration(usec):223630090
Size:8851364, Duration(usec):34162824
Size:3898, Duration(usec):19062102
Size:4822459, Duration(usec):55576406
Size:527077, Duration(usec):39119654
Size:5576341, Duration(usec):115142686
Size:6303, Duration(usec):54262315
Size:17252, Duration(usec):37991696
Size:29109, Duration(usec):54729943
Size:55982, Duration(usec):37976816
Size:25861, Duration(usec):218089830
Size:62129, Duration(usec):86616522
Size:20467, Duration(usec):111324441
Size:37434, Duration(usec):50070221
Size:43493, Duration(usec):214825179
Size:42906, Duration(usec):27045787
Size:2350160, Duration(usec):104229533
Size:29660, Duration(usec):214347890
Size:24263, Duration(usec):31357515
Size:16241, Duration(usec):214242935
Size:4896, Duration(usec):34010943
Size:47151, Duration(usec):34895038
Size:2533, Duration(usec):212210032
