Size:56961, Duration(usec):582764
Size:48602, Duration(usec):1462988
Size:152517, Duration(usec):4751267
Size:48742, Duration(usec):924686
Size:73841, Duration(usec):9232070
Size:436987, Duration(usec):5494327
Size:749494, Duration(usec):11311296
Size:21630, Duration(usec):68401
Size:2512219, Duration(usec):38284382
Size:1896962, Duration(usec):32610917
Size:28432, Duration(usec):49765
Size:10478, Duration(usec):31233967
Size:1861328, Duration(usec):30214685
Size:55554, Duration(usec):136015
Size:21740, Duration(usec):77480
Size:4718048, Duration(usec):111496356
Size:592599, Duration(usec):14853131
Size:11302, Duration(usec):363934
Size:1553795, Duration(usec):20409356
Size:74, Duration(usec):32035
Size:4902, Duration(usec):116015
Size:3781362, Duration(usec):83313056
Size:4165940, Duration(usec):27944339
Size:223952, Duration(usec):24710428
Size:21497, Duration(usec):23382596
Size:595692, Duration(usec):14523340
Size:535871, Duration(usec):6031132
Size:17730939, Duration(usec):345749501
Size:8851364, Duration(usec):287520147
Size:3898, Duration(usec):144136
Size:4822459, Duration(usec):472542681
Size:527077, Duration(usec):32272830
Size:5576341, Duration(usec):154449805
Size:6303, Duration(usec):338275
Size:17252, Duration(usec):15104801
Size:29109, Duration(usec):223468
Size:55982, Duration(usec):7793900
Size:25861, Duration(usec):7388754
Size:62129, Duration(usec):3332337
Size:20467, Duration(usec):115444897
Size:37434, Duration(usec):416421051
Size:43493, Duration(usec):256138614
Size:42906, Duration(usec):215876160
Size:2350160, Duration(usec):244373931
Size:29660, Duration(usec):57299515
Size:24263, Duration(usec):57956
Size:16241, Duration(usec):54898525
Size:4896, Duration(usec):12999563
Size:47151, Duration(usec):65576868
Size:2533, Duration(usec):34571619
