Size:56961, Duration(usec):895026
Size:48602, Duration(usec):342401
Size:152517, Duration(usec):2041440
Size:48742, Duration(usec):617444
Size:73841, Duration(usec):3077584
Size:436987, Duration(usec):6243213
Size:749494, Duration(usec):21051252
Size:21630, Duration(usec):1159284
Size:2512219, Duration(usec):19672257
Size:1896962, Duration(usec):22286926
Size:28432, Duration(usec):782680
Size:10478, Duration(usec):18981183
Size:1861328, Duration(usec):6642852
Size:55554, Duration(usec):3706554
Size:21740, Duration(usec):3492562
Size:4718048, Duration(usec):48923707
Size:592599, Duration(usec):7443596
Size:11302, Duration(usec):17961758
Size:1553795, Duration(usec):20295231
Size:74, Duration(usec):117392
Size:4902, Duration(usec):11367776
Size:3781362, Duration(usec):52951208
Size:4165940, Duration(usec):39011152
Size:223952, Duration(usec):43091751
Size:21497, Duration(usec):43014541
Size:595692, Duration(usec):19801361
Size:535871, Duration(usec):55795745
Size:17730939, Duration(usec):62460004
Size:8851364, Duration(usec):135679416
Size:3898, Duration(usec):6647713
Size:4822459, Duration(usec):60000493
Size:527077, Duration(usec):31872878
Size:5576341, Duration(usec):66190627
Size:6303, Duration(usec):58982809
Size:17252, Duration(usec):31789554
Size:29109, Duration(usec):13065939
Size:55982, Duration(usec):32162502
Size:25861, Duration(usec):56972218
Size:62129, Duration(usec):35982039
Size:20467, Duration(usec):62320141
Size:37434, Duration(usec):55795384
Size:43493, Duration(usec):53735146
Size:42906, Duration(usec):128564021
Size:2350160, Duration(usec):56282898
Size:29660, Duration(usec):53279509
Size:24263, Duration(usec):27207861
Size:16241, Duration(usec):53053209
Size:4896, Duration(usec):27681423
Size:47151, Duration(usec):32027404
Size:2533, Duration(usec):51027913
