Size:56961, Duration(usec):1597379
Size:48602, Duration(usec):1248081
Size:152517, Duration(usec):4651957
Size:48742, Duration(usec):509214
Size:73841, Duration(usec):1759881
Size:436987, Duration(usec):1371610
Size:749494, Duration(usec):10018905
Size:21630, Duration(usec):84923
Size:2512219, Duration(usec):23240807
Size:1896962, Duration(usec):20762134
Size:28432, Duration(usec):818953
Size:10478, Duration(usec):21478005
Size:1861328, Duration(usec):30333777
Size:55554, Duration(usec):112622
Size:21740, Duration(usec):39798
Size:4718048, Duration(usec):113086333
Size:592599, Duration(usec):43882051
Size:11302, Duration(usec):9301845
Size:1553795, Duration(usec):15434604
Size:74, Duration(usec):16498
Size:4902, Duration(usec):2184774
Size:3781362, Duration(usec):78563083
Size:4165940, Duration(usec):12373929
Size:223952, Duration(usec):99362833
Size:21497, Duration(usec):99003363
Size:595692, Duration(usec):4016295
Size:535871, Duration(usec):82297934
Size:17730939, Duration(usec):192140311
Size:8851364, Duration(usec):142847957
Size:3898, Duration(usec):299236
Size:4822459, Duration(usec):39634040
Size:527077, Duration(usec):27365478
Size:5576341, Duration(usec):39491243
Size:6303, Duration(usec):36337523
Size:17252, Duration(usec):27062963
Size:29109, Duration(usec):580838
Size:55982, Duration(usec):25467455
Size:25861, Duration(usec):178296289
Size:62129, Duration(usec):79633905
Size:20467, Duration(usec):29732193
Size:37434, Duration(usec):25790052
Size:43493, Duration(usec):170018014
Size:42906, Duration(usec):124998743
Size:2350160, Duration(usec):92471620
Size:29660, Duration(usec):168763561
Size:24263, Duration(usec):47623
Size:16241, Duration(usec):168200250
Size:4896, Duration(usec):13208727
Size:47151, Duration(usec):14074545
Size:2533, Duration(usec):163118333
