Size:56961, Duration(usec):1281764
Size:48602, Duration(usec):950089
Size:152517, Duration(usec):2261659
Size:48742, Duration(usec):574076
Size:73841, Duration(usec):940815
Size:436987, Duration(usec):4001867
Size:749494, Duration(usec):6077250
Size:21630, Duration(usec):59448
Size:2512219, Duration(usec):12774500
Size:1896962, Duration(usec):15295947
Size:28432, Duration(usec):210998
Size:10478, Duration(usec):9308514
Size:1861328, Duration(usec):17165067
Size:55554, Duration(usec):260673
Size:21740, Duration(usec):90782
Size:4718048, Duration(usec):41927741
Size:592599, Duration(usec):9615847
Size:11302, Duration(usec):55098
Size:1553795, Duration(usec):13572087
Size:74, Duration(usec):48578
Size:4902, Duration(usec):15012
Size:3781362, Duration(usec):39938350
Size:4165940, Duration(usec):37520265
Size:223952, Duration(usec):6851814
Size:21497, Duration(usec):6134927
Size:595692, Duration(usec):4415352
Size:535871, Duration(usec):38079649
Size:17730939, Duration(usec):146547911
Size:8851364, Duration(usec):87895334
Size:3898, Duration(usec):228046
Size:4822459, Duration(usec):20284131
Size:527077, Duration(usec):4804290
Size:5576341, Duration(usec):47026351
Size:6303, Duration(usec):13696954
Size:17252, Duration(usec):488428
Size:29109, Duration(usec):237859
Size:55982, Duration(usec):299077
Size:25861, Duration(usec):118834345
Size:62129, Duration(usec):544809
Size:20467, Duration(usec):27488235
Size:37434, Duration(usec):559632
Size:43493, Duration(usec):102044869
Size:42906, Duration(usec):52120564
Size:2350160, Duration(usec):18410020
Size:29660, Duration(usec):99557193
Size:24263, Duration(usec):76128
Size:16241, Duration(usec):98423051
Size:4896, Duration(usec):72368
Size:47151, Duration(usec):163787
Size:2533, Duration(usec):88312816
