Size:56961, Duration(usec):1843338
Size:48602, Duration(usec):835515
Size:152517, Duration(usec):4056821
Size:48742, Duration(usec):160961
Size:73841, Duration(usec):518676
Size:436987, Duration(usec):8765477
Size:749494, Duration(usec):8196987
Size:21630, Duration(usec):149116
Size:2512219, Duration(usec):27243583
Size:1896962, Duration(usec):7692730
Size:28432, Duration(usec):622235
Size:10478, Duration(usec):25542542
Size:1861328, Duration(usec):35273883
Size:55554, Duration(usec):2223693
Size:21740, Duration(usec):1582016
Size:4718048, Duration(usec):51943836
Size:592599, Duration(usec):50407756
Size:11302, Duration(usec):181841
Size:1553795, Duration(usec):11826429
Size:74, Duration(usec):106632
Size:4902, Duration(usec):6269593
Size:3781362, Duration(usec):81237811
Size:4165940, Duration(usec):74363367
Size:223952, Duration(usec):35249545
Size:21497, Duration(usec):34982397
Size:595692, Duration(usec):2008583
Size:535871, Duration(usec):80662643
Size:17730939, Duration(usec):201292278
Size:8851364, Duration(usec):142093149
Size:3898, Duration(usec):185065
Size:4822459, Duration(usec):40972959
Size:527077, Duration(usec):14048980
Size:5576341, Duration(usec):48499507
Size:6303, Duration(usec):37690477
Size:17252, Duration(usec):10187209
Size:29109, Duration(usec):79643
Size:55982, Duration(usec):9300610
Size:25861, Duration(usec):188353099
Size:62129, Duration(usec):16115121
Size:20467, Duration(usec):38750863
Size:37434, Duration(usec):27415749
Size:43493, Duration(usec):180495654
Size:42906, Duration(usec):124435803
Size:2350160, Duration(usec):28877873
Size:29660, Duration(usec):179282180
Size:24263, Duration(usec):46690256
Size:16241, Duration(usec):178711829
Size:4896, Duration(usec):436326
Size:47151, Duration(usec):1951961
Size:2533, Duration(usec):173629913
