Size:56961, Duration(usec):277256
Size:48602, Duration(usec):168932
Size:152517, Duration(usec):822553
Size:48742, Duration(usec):174357
Size:73841, Duration(usec):355121
Size:436987, Duration(usec):2650859
Size:749494, Duration(usec):4601276
Size:21630, Duration(usec):53204
Size:2512219, Duration(usec):17052842
Size:1896962, Duration(usec):12320611
Size:28432, Duration(usec):71542
Size:10478, Duration(usec):16362764
Size:1861328, Duration(usec):12074228
Size:55554, Duration(usec):269420
Size:21740, Duration(usec):170956
Size:4718048, Duration(usec):32036324
Size:592599, Duration(usec):13723178
Size:11302, Duration(usec):7743663
Size:1553795, Duration(usec):10214177
Size:74, Duration(usec):34221
Size:4902, Duration(usec):8798078
Size:3781362, Duration(usec):24632550
Size:4165940, Duration(usec):27398607
Size:223952, Duration(usec):26329459
Size:21497, Duration(usec):26335474
Size:595692, Duration(usec):5871050
Size:535871, Duration(usec):26327980
Size:17730939, Duration(usec):120538383
Size:8851364, Duration(usec):82216269
Size:3898, Duration(usec):86096
Size:4822459, Duration(usec):34707193
Size:527077, Duration(usec):3404117
Size:5576341, Duration(usec):37473371
Size:6303, Duration(usec):33407650
Size:17252, Duration(usec):1702314
Size:29109, Duration(usec):108885
Size:55982, Duration(usec):1034852
Size:25861, Duration(usec):115017209
Size:62129, Duration(usec):18936110
Size:20467, Duration(usec):33569694
Size:37434, Duration(usec):29293284
Size:43493, Duration(usec):112037199
Size:42906, Duration(usec):75236425
Size:2350160, Duration(usec):30679115
Size:29660, Duration(usec):111573104
Size:24263, Duration(usec):15714793
Size:16241, Duration(usec):111530673
Size:4896, Duration(usec):465584
Size:47151, Duration(usec):479480
Size:2533, Duration(usec):109497751
