Size:56961, Duration(usec):345816
Size:48602, Duration(usec):270379
Size:152517, Duration(usec):1851989
Size:48742, Duration(usec):331310
Size:73841, Duration(usec):1840969
Size:436987, Duration(usec):3393875
Size:749494, Duration(usec):5533195
Size:21630, Duration(usec):70112
Size:2512219, Duration(usec):25714322
Size:1896962, Duration(usec):17759433
Size:28432, Duration(usec):118815
Size:10478, Duration(usec):24919345
Size:1861328, Duration(usec):14421653
Size:55554, Duration(usec):337514
Size:21740, Duration(usec):307670
Size:4718048, Duration(usec):55404819
Size:592599, Duration(usec):16339981
Size:11302, Duration(usec):12125731
Size:1553795, Duration(usec):18490543
Size:74, Duration(usec):43890
Size:4902, Duration(usec):15342935
Size:3781362, Duration(usec):15853433
Size:4165940, Duration(usec):40676356
Size:223952, Duration(usec):47699656
Size:21497, Duration(usec):48067243
Size:595692, Duration(usec):11531123
Size:535871, Duration(usec):15682617
Size:17730939, Duration(usec):157912702
Size:8851364, Duration(usec):50322303
Size:3898, Duration(usec):50054
Size:4822459, Duration(usec):49296001
Size:527077, Duration(usec):5739268
Size:5576341, Duration(usec):56522208
Size:6303, Duration(usec):47647889
Size:17252, Duration(usec):3797676
Size:29109, Duration(usec):3113431
Size:55982, Duration(usec):3324059
Size:25861, Duration(usec):150999277
Size:62129, Duration(usec):38582004
Size:20467, Duration(usec):51658969
Size:37434, Duration(usec):42349436
Size:43493, Duration(usec):146828285
Size:42906, Duration(usec):41432383
Size:2350160, Duration(usec):50535739
Size:29660, Duration(usec):146561099
Size:24263, Duration(usec):25874041
Size:16241, Duration(usec):146312967
Size:4896, Duration(usec):73238
Size:47151, Duration(usec):303271
Size:2533, Duration(usec):143771907
