Size:56961, Duration(usec):465286
Size:48602, Duration(usec):6559376
Size:152517, Duration(usec):1832409
Size:48742, Duration(usec):198141
Size:73841, Duration(usec):25580463
Size:436987, Duration(usec):5072900
Size:749494, Duration(usec):8662964
Size:21630, Duration(usec):82786
Size:2512219, Duration(usec):41165847
Size:1896962, Duration(usec):27990259
Size:28432, Duration(usec):68244
Size:10478, Duration(usec):27074272
Size:1861328, Duration(usec):31642006
Size:55554, Duration(usec):374777
Size:21740, Duration(usec):69696
Size:4718048, Duration(usec):70927602
Size:592599, Duration(usec):6266841
Size:11302, Duration(usec):316670
Size:1553795, Duration(usec):17437556
Size:74, Duration(usec):34360
Size:4902, Duration(usec):106412
Size:3781362, Duration(usec):67925657
Size:4165940, Duration(usec):35576405
Size:223952, Duration(usec):17111436
Size:21497, Duration(usec):15582076
Size:595692, Duration(usec):14935545
Size:535871, Duration(usec):7137118
Size:17730939, Duration(usec):349723599
Size:8851364, Duration(usec):128111310
Size:3898, Duration(usec):98282
Size:4822459, Duration(usec):77818686
Size:527077, Duration(usec):8025466
Size:5576341, Duration(usec):74028619
Size:6303, Duration(usec):223609
Size:17252, Duration(usec):270487
Size:29109, Duration(usec):487551
Size:55982, Duration(usec):1238084
Size:25861, Duration(usec):7140521
Size:62129, Duration(usec):706112
Size:20467, Duration(usec):121418
Size:37434, Duration(usec):94861
Size:43493, Duration(usec):170107588
Size:42906, Duration(usec):543604
Size:2350160, Duration(usec):39505871
Size:29660, Duration(usec):2488937
Size:24263, Duration(usec):68323
Size:16241, Duration(usec):2649295
Size:4896, Duration(usec):138960
Size:47151, Duration(usec):173094
Size:2533, Duration(usec):193407
