Size:56961, Duration(usec):353769
Size:48602, Duration(usec):191146
Size:152517, Duration(usec):942599
Size:48742, Duration(usec):99466
Size:73841, Duration(usec):445576
Size:436987, Duration(usec):2552223
Size:749494, Duration(usec):4990869
Size:21630, Duration(usec):40467
Size:2512219, Duration(usec):16980385
Size:1896962, Duration(usec):12185652
Size:28432, Duration(usec):50090
Size:10478, Duration(usec):16275103
Size:1861328, Duration(usec):12089268
Size:55554, Duration(usec):294000
Size:21740, Duration(usec):260226
Size:4718048, Duration(usec):32821922
Size:592599, Duration(usec):13693523
Size:11302, Duration(usec):7608711
Size:1553795, Duration(usec):10159519
Size:74, Duration(usec):4726
Size:4902, Duration(usec):8557318
Size:3781362, Duration(usec):24840592
Size:4165940, Duration(usec):26147403
Size:223952, Duration(usec):27340844
Size:21497, Duration(usec):27351532
Size:595692, Duration(usec):6439755
Size:535871, Duration(usec):27008277
Size:17730939, Duration(usec):123089700
Size:8851364, Duration(usec):82620750
Size:3898, Duration(usec):48662
Size:4822459, Duration(usec):34570985
Size:527077, Duration(usec):3256384
Size:5576341, Duration(usec):39930745
Size:6303, Duration(usec):33256484
Size:17252, Duration(usec):1767816
Size:29109, Duration(usec):787173
Size:55982, Duration(usec):1087842
Size:25861, Duration(usec):117568304
Size:62129, Duration(usec):19836900
Size:20467, Duration(usec):36123263
Size:37434, Duration(usec):29054587
Size:43493, Duration(usec):114412677
Size:42906, Duration(usec):75578479
Size:2350160, Duration(usec):31899574
Size:29660, Duration(usec):113933105
Size:24263, Duration(usec):14481760
Size:16241, Duration(usec):113765972
Size:4896, Duration(usec):307521
Size:47151, Duration(usec):298581
Size:2533, Duration(usec):111733039
