Size:56961, Duration(usec):84930
Size:48602, Duration(usec):54639
Size:152517, Duration(usec):330392
Size:48742, Duration(usec):76594
Size:73841, Duration(usec):101464
Size:436987, Duration(usec):2305013
Size:749494, Duration(usec):4600375
Size:21630, Duration(usec):28525
Size:2512219, Duration(usec):15880992
Size:1896962, Duration(usec):12620820
Size:28432, Duration(usec):72264
Size:10478, Duration(usec):14275099
Size:1861328, Duration(usec):12229933
Size:55554, Duration(usec):87196
Size:21740, Duration(usec):30462
Size:4718048, Duration(usec):29743689
Size:592599, Duration(usec):10628669
Size:11302, Duration(usec):1160497
Size:1553795, Duration(usec):10074966
Size:74, Duration(usec):19180
Size:4902, Duration(usec):19961
Size:3781362, Duration(usec):25429693
Size:4165940, Duration(usec):27485002
Size:223952, Duration(usec):13318514
Size:21497, Duration(usec):13088381
Size:595692, Duration(usec):3340158
Size:535871, Duration(usec):24962862
Size:17730939, Duration(usec):117250190
Size:8851364, Duration(usec):74485080
Size:3898, Duration(usec):21722
Size:4822459, Duration(usec):31633707
Size:527077, Duration(usec):2939520
Size:5576341, Duration(usec):36063478
Size:6303, Duration(usec):28511019
Size:17252, Duration(usec):27025
Size:29109, Duration(usec):260113
Size:55982, Duration(usec):144318
Size:25861, Duration(usec):103339374
Size:62129, Duration(usec):130097
Size:20467, Duration(usec):26450782
Size:37434, Duration(usec):18445355
Size:43493, Duration(usec):95034994
Size:42906, Duration(usec):56661637
Size:2350160, Duration(usec):15071014
Size:29660, Duration(usec):93767230
Size:24263, Duration(usec):47086
Size:16241, Duration(usec):93207867
Size:4896, Duration(usec):19783
Size:47151, Duration(usec):89056
Size:2533, Duration(usec):88132277
