Size:56961, Duration(usec):1821057
Size:48602, Duration(usec):440370
Size:152517, Duration(usec):2014690
Size:48742, Duration(usec):386896
Size:73841, Duration(usec):1385657
Size:436987, Duration(usec):6827400
Size:749494, Duration(usec):6030547
Size:21630, Duration(usec):110111
Size:2512219, Duration(usec):66199595
Size:1896962, Duration(usec):37769015
Size:28432, Duration(usec):666066
Size:10478, Duration(usec):64436813
Size:1861328, Duration(usec):14330148
Size:55554, Duration(usec):766344
Size:21740, Duration(usec):386802
Size:4718048, Duration(usec):19365827
Size:592599, Duration(usec):12387292
Size:11302, Duration(usec):26325275
Size:1553795, Duration(usec):30470452
Size:74, Duration(usec):122215
Size:4902, Duration(usec):45350567
Size:3781362, Duration(usec):87588408
Size:4165940, Duration(usec):79510420
Size:223952, Duration(usec):1856464
Size:21497, Duration(usec):1920825
Size:595692, Duration(usec):18428102
Size:535871, Duration(usec):91304416
Size:17730939, Duration(usec):142921470
Size:8851364, Duration(usec):151051045
Size:3898, Duration(usec):68119
Size:4822459, Duration(usec):92160239
Size:527077, Duration(usec):2873307
Size:5576341, Duration(usec):84389809
Size:6303, Duration(usec):89144890
Size:17252, Duration(usec):206452
Size:29109, Duration(usec):1428014
Size:55982, Duration(usec):495616
Size:25861, Duration(usec):129034078
Size:62129, Duration(usec):174240
Size:20467, Duration(usec):74670975
Size:37434, Duration(usec):78445320
Size:43493, Duration(usec):120821215
Size:42906, Duration(usec):133217366
Size:2350160, Duration(usec):7579680
Size:29660, Duration(usec):119594450
Size:24263, Duration(usec):50023405
Size:16241, Duration(usec):119050469
Size:4896, Duration(usec):60363
Size:47151, Duration(usec):163755
Size:2533, Duration(usec):113994276
