Size:56961, Duration(usec):4891009
Size:48602, Duration(usec):2617965
Size:152517, Duration(usec):8341779
Size:48742, Duration(usec):276510
Size:73841, Duration(usec):276264
Size:436987, Duration(usec):4556086
Size:749494, Duration(usec):9253648
Size:21630, Duration(usec):145706
Size:2512219, Duration(usec):52114249
Size:1896962, Duration(usec):16430233
Size:28432, Duration(usec):1159796
Size:10478, Duration(usec):45117076
Size:1861328, Duration(usec):37330042
Size:55554, Duration(usec):560110
Size:21740, Duration(usec):157195
Size:4718048, Duration(usec):51046483
Size:592599, Duration(usec):21128089
Size:11302, Duration(usec):4904758
Size:1553795, Duration(usec):21227689
Size:74, Duration(usec):329895
Size:4902, Duration(usec):294737
Size:3781362, Duration(usec):245994923
Size:4165940, Duration(usec):351163362
Size:223952, Duration(usec):6013032
Size:21497, Duration(usec):4699083
Size:595692, Duration(usec):22383151
Size:535871, Duration(usec):18347305
Size:17730939, Duration(usec):438029433
Size:8851364, Duration(usec):365015544
Size:3898, Duration(usec):528574
Size:4822459, Duration(usec):208876629
Size:527077, Duration(usec):21306657
Size:5576341, Duration(usec):303584179
Size:6303, Duration(usec):2276398
Size:17252, Duration(usec):4443908
Size:29109, Duration(usec):2521254
Size:55982, Duration(usec):1957853
Size:25861, Duration(usec):2164119
Size:62129, Duration(usec):1138027
Size:20467, Duration(usec):264619875
Size:37434, Duration(usec):154555407
Size:43493, Duration(usec):348314440
Size:42906, Duration(usec):293821329
Size:2350160, Duration(usec):39282385
Size:29660, Duration(usec):2055395
Size:24263, Duration(usec):232216722
Size:16241, Duration(usec):826137
Size:4896, Duration(usec):673242
Size:47151, Duration(usec):1927341
Size:2533, Duration(usec):481293
