Size:56961, Duration(usec):265885
Size:48602, Duration(usec):55013
Size:152517, Duration(usec):920554
Size:48742, Duration(usec):84364
Size:73841, Duration(usec):345359
Size:436987, Duration(usec):2725407
Size:749494, Duration(usec):4521973
Size:21630, Duration(usec):35061
Size:2512219, Duration(usec):15587226
Size:1896962, Duration(usec):12568296
Size:28432, Duration(usec):57083
Size:10478, Duration(usec):14754639
Size:1861328, Duration(usec):12961599
Size:55554, Duration(usec):108405
Size:21740, Duration(usec):41929
Size:4718048, Duration(usec):36550050
Size:592599, Duration(usec):18158437
Size:11302, Duration(usec):6851883
Size:1553795, Duration(usec):14605396
Size:74, Duration(usec):24139
Size:4902, Duration(usec):5113904
Size:3781362, Duration(usec):26678283
Size:4165940, Duration(usec):27848933
Size:223952, Duration(usec):29887694
Size:21497, Duration(usec):29848126
Size:595692, Duration(usec):3568333
Size:535871, Duration(usec):27913678
Size:17730939, Duration(usec):123109024
Size:8851364, Duration(usec):81725687
Size:3898, Duration(usec):21763
Size:4822459, Duration(usec):30605625
Size:527077, Duration(usec):3366893
Size:5576341, Duration(usec):38768878
Size:6303, Duration(usec):28962895
Size:17252, Duration(usec):1273948
Size:29109, Duration(usec):552145
Size:55982, Duration(usec):726772
Size:25861, Duration(usec):116180000
Size:62129, Duration(usec):20276441
Size:20467, Duration(usec):33870783
Size:37434, Duration(usec):24037434
Size:43493, Duration(usec):111990477
Size:42906, Duration(usec):72912375
Size:2350160, Duration(usec):27319467
Size:29660, Duration(usec):111368085
Size:24263, Duration(usec):13021132
Size:16241, Duration(usec):111082973
Size:4896, Duration(usec):53637
Size:47151, Duration(usec):55231
Size:2533, Duration(usec):108541883
