Size:56961, Duration(usec):275855
Size:48602, Duration(usec):208866
Size:152517, Duration(usec):890977
Size:48742, Duration(usec):216336
Size:73841, Duration(usec):403132
Size:436987, Duration(usec):2811680
Size:749494, Duration(usec):4819914
Size:21630, Duration(usec):46884
Size:2512219, Duration(usec):16503509
Size:1896962, Duration(usec):12368137
Size:28432, Duration(usec):81171
Size:10478, Duration(usec):14748307
Size:1861328, Duration(usec):12046823
Size:55554, Duration(usec):251483
Size:21740, Duration(usec):37618
Size:4718048, Duration(usec):30277158
Size:592599, Duration(usec):10486099
Size:11302, Duration(usec):915364
Size:1553795, Duration(usec):10109957
Size:74, Duration(usec):18611
Size:4902, Duration(usec):95443
Size:3781362, Duration(usec):26022568
Size:4165940, Duration(usec):28026942
Size:223952, Duration(usec):14159557
Size:21497, Duration(usec):13944708
Size:595692, Duration(usec):3758831
Size:535871, Duration(usec):25414313
Size:17730939, Duration(usec):115457883
Size:8851364, Duration(usec):74513231
Size:3898, Duration(usec):14767
Size:4822459, Duration(usec):32128185
Size:527077, Duration(usec):3453322
Size:5576341, Duration(usec):37174604
Size:6303, Duration(usec):28879512
Size:17252, Duration(usec):36729
Size:29109, Duration(usec):116061
Size:55982, Duration(usec):291822
Size:25861, Duration(usec):101547070
Size:62129, Duration(usec):321951
Size:20467, Duration(usec):27412321
Size:37434, Duration(usec):18257897
Size:43493, Duration(usec):93414936
Size:42906, Duration(usec):56623800
Size:2350160, Duration(usec):15429399
Size:29660, Duration(usec):92146712
Size:24263, Duration(usec):884008
Size:16241, Duration(usec):91738104
Size:4896, Duration(usec):49247
Size:47151, Duration(usec):207349
Size:2533, Duration(usec):86662500
