Size:56961, Duration(usec):276143
Size:48602, Duration(usec):203982
Size:152517, Duration(usec):892714
Size:48742, Duration(usec):172324
Size:73841, Duration(usec):393015
Size:436987, Duration(usec):2867427
Size:749494, Duration(usec):4600414
Size:21630, Duration(usec):262261
Size:2512219, Duration(usec):16871635
Size:1896962, Duration(usec):12344114
Size:28432, Duration(usec):437589
Size:10478, Duration(usec):15871849
Size:1861328, Duration(usec):13116989
Size:55554, Duration(usec):175324
Size:21740, Duration(usec):65529
Size:4718048, Duration(usec):31844046
Size:592599, Duration(usec):13741997
Size:11302, Duration(usec):5976447
Size:1553795, Duration(usec):10591678
Size:74, Duration(usec):109262
Size:4902, Duration(usec):4915479
Size:3781362, Duration(usec):26168601
Size:4165940, Duration(usec):27544654
Size:223952, Duration(usec):22927482
Size:21497, Duration(usec):22727425
Size:595692, Duration(usec):4255536
Size:535871, Duration(usec):27663140
Size:17730939, Duration(usec):119808844
Size:8851364, Duration(usec):81035818
Size:3898, Duration(usec):44190
Size:4822459, Duration(usec):31204881
Size:527077, Duration(usec):3229705
Size:5576341, Duration(usec):37800914
Size:6303, Duration(usec):29381223
Size:17252, Duration(usec):926868
Size:29109, Duration(usec):53367
Size:55982, Duration(usec):150200
Size:25861, Duration(usec):111870243
Size:62129, Duration(usec):11949159
Size:20467, Duration(usec):32226001
Size:37434, Duration(usec):23508970
Size:43493, Duration(usec):107029903
Size:42906, Duration(usec):70857186
Size:2350160, Duration(usec):22745219
Size:29660, Duration(usec):106315266
Size:24263, Duration(usec):10782679
Size:16241, Duration(usec):105987347
Size:4896, Duration(usec):14470
Size:47151, Duration(usec):157417
Size:2533, Duration(usec):103083273
