Size:56961, Duration(usec):525844
Size:48602, Duration(usec):6954458
Size:152517, Duration(usec):5194360
Size:48742, Duration(usec):8115325
Size:73841, Duration(usec):2208385
Size:436987, Duration(usec):4147401
Size:749494, Duration(usec):8359253
Size:21630, Duration(usec):377707
Size:2512219, Duration(usec):17818177
Size:1896962, Duration(usec):40527728
Size:28432, Duration(usec):1245146
Size:10478, Duration(usec):10821519
Size:1861328, Duration(usec):40976717
Size:55554, Duration(usec):696368
Size:21740, Duration(usec):560135
Size:4718048, Duration(usec):97811807
Size:592599, Duration(usec):22919380
Size:11302, Duration(usec):1877445
Size:1553795, Duration(usec):20645845
Size:74, Duration(usec):147929
Size:4902, Duration(usec):40818
Size:3781362, Duration(usec):45765731
Size:4165940, Duration(usec):308665205
Size:223952, Duration(usec):7502260
Size:21497, Duration(usec):6113935
Size:595692, Duration(usec):14281652
Size:535871, Duration(usec):13009550
Size:17730939, Duration(usec):515583879
Size:8851364, Duration(usec):620831961
Size:3898, Duration(usec):260224
Size:4822459, Duration(usec):25570321
Size:527077, Duration(usec):48703871
Size:5576341, Duration(usec):464454214
Size:6303, Duration(usec):603067
Size:17252, Duration(usec):32351616
Size:29109, Duration(usec):1473876
Size:55982, Duration(usec):9990800
Size:25861, Duration(usec):229074
Size:62129, Duration(usec):2969977
Size:20467, Duration(usec):425311931
Size:37434, Duration(usec):310853
Size:43493, Duration(usec):425793026
Size:42906, Duration(usec):549294606
Size:2350160, Duration(usec):226126240
Size:29660, Duration(usec):7199848
Size:24263, Duration(usec):190282464
Size:16241, Duration(usec):6085873
Size:4896, Duration(usec):98076445
Size:47151, Duration(usec):97271274
Size:2533, Duration(usec):2843670
