Size:56961, Duration(usec):200556
Size:48602, Duration(usec):148164
Size:152517, Duration(usec):1915302
Size:48742, Duration(usec):503554
Size:73841, Duration(usec):294081
Size:436987, Duration(usec):2727722
Size:749494, Duration(usec):4783504
Size:21630, Duration(usec):44067
Size:2512219, Duration(usec):16732748
Size:1896962, Duration(usec):12064601
Size:28432, Duration(usec):54198
Size:10478, Duration(usec):14389046
Size:1861328, Duration(usec):12245991
Size:55554, Duration(usec):188698
Size:21740, Duration(usec):47994
Size:4718048, Duration(usec):32840049
Size:592599, Duration(usec):8355421
Size:11302, Duration(usec):15001
Size:1553795, Duration(usec):10266837
Size:74, Duration(usec):12434
Size:4902, Duration(usec):13445
Size:3781362, Duration(usec):25888888
Size:4165940, Duration(usec):27461893
Size:223952, Duration(usec):9549831
Size:21497, Duration(usec):9045100
Size:595692, Duration(usec):3722159
Size:535871, Duration(usec):23936828
Size:17730939, Duration(usec):117599137
Size:8851364, Duration(usec):71456761
Size:3898, Duration(usec):14880
Size:4822459, Duration(usec):31413887
Size:527077, Duration(usec):3406224
Size:5576341, Duration(usec):36315577
Size:6303, Duration(usec):26989713
Size:17252, Duration(usec):18881
Size:29109, Duration(usec):56928
Size:55982, Duration(usec):224052
Size:25861, Duration(usec):99220676
Size:62129, Duration(usec):227528
Size:20467, Duration(usec):24022829
Size:37434, Duration(usec):13228363
Size:43493, Duration(usec):88066100
Size:42906, Duration(usec):47637303
Size:2350160, Duration(usec):15389403
Size:29660, Duration(usec):86537107
Size:24263, Duration(usec):58782
Size:16241, Duration(usec):85889878
Size:4896, Duration(usec):24937
Size:47151, Duration(usec):1034251
Size:2533, Duration(usec):79120402
