Size:56961, Duration(usec):247592
Size:48602, Duration(usec):179622
Size:152517, Duration(usec):785317
Size:48742, Duration(usec):596080
Size:73841, Duration(usec):1266199
Size:436987, Duration(usec):2801521
Size:749494, Duration(usec):4630369
Size:21630, Duration(usec):41139
Size:2512219, Duration(usec):16163757
Size:1896962, Duration(usec):12447919
Size:28432, Duration(usec):59360
Size:10478, Duration(usec):13973733
Size:1861328, Duration(usec):12309604
Size:55554, Duration(usec):163373
Size:21740, Duration(usec):59294
Size:4718048, Duration(usec):32192271
Size:592599, Duration(usec):8403849
Size:11302, Duration(usec):23918
Size:1553795, Duration(usec):10237183
Size:74, Duration(usec):15899
Size:4902, Duration(usec):13071
Size:3781362, Duration(usec):25679130
Size:4165940, Duration(usec):27501193
Size:223952, Duration(usec):9338859
Size:21497, Duration(usec):8895126
Size:595692, Duration(usec):3792665
Size:535871, Duration(usec):23791553
Size:17730939, Duration(usec):117960743
Size:8851364, Duration(usec):70660564
Size:3898, Duration(usec):24948
Size:4822459, Duration(usec):30956388
Size:527077, Duration(usec):3184413
Size:5576341, Duration(usec):37184373
Size:6303, Duration(usec):26722991
Size:17252, Duration(usec):17830
Size:29109, Duration(usec):63057
Size:55982, Duration(usec):204298
Size:25861, Duration(usec):99406329
Size:62129, Duration(usec):268862
Size:20467, Duration(usec):24138319
Size:37434, Duration(usec):12656189
Size:43493, Duration(usec):88223274
Size:42906, Duration(usec):46924922
Size:2350160, Duration(usec):15308831
Size:29660, Duration(usec):86671516
Size:24263, Duration(usec):113104
Size:16241, Duration(usec):85988151
Size:4896, Duration(usec):8087
Size:47151, Duration(usec):617386
Size:2533, Duration(usec):79219065
